English word,Source definition(s),Menominee word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,,apēs-wa͞emaehtekōsew,,black-French person,,,,,,,compounding: preN+N,metonymy: associated feature (color),starting from identity as a French (non-native) person?
American / white person,,mōhkomān,,,,,,,,,borrowing(?) - truncated,metonymy: associated attribute (artifact),from Ojibwe?
APPLE,,mēqsemen,,,mēqN-,"big, large (of single things)",,,-men,"berry, fruit, grain",derivation: primary,metonymy: associated feature (size & shape),
APRICOT,,---,,,,,,,,,---,---,
Asian person,Japanese person,maskīhkiwapohkaew,maskīhkiwapohkaew,s/he makes tea,,,,,-w,agent,derivation: secondary,metonymy: associated action,
baby,,pēpēhsaeh,/pēpē-/,baby,,,,,-æhs,"diminutive, explicit",borrowing + derivation: secondary,---,< French bébé [see Ojibwe for notes] (or English 'baby'?)
banana,,pana͞enas,,,,,,,,,borrowing,---,"< English; sg & pl the same - see Rees-Miller 96:198, ex (4)"
BARLEY,,---,,,,,,,,,---,---,
bear interest (money),1. it bears young; 2. it (money) bears interest,penīmakat,penīw,she bears young,,,,,-makat,II final,derivation: secondary,semantic extension (function? metaphor?) + derivation: secondary,"also partly a calque, because of ""bear young/bear interest""?"
beer,,pēqtaewapoh,pēqtaew,foam,,,,,-āpoh,liquid,derivation: secondary,metonymy: associated substance,"speaker said it means ""something foamy"""
BEET,,---,,,,,,,,,---,---,
bicycle,,ta͞eqtepa͞eskawan,/ta͞eqtepa͞eska-/ AI1 (?),s/he/it rolls,,,,,-(wa)n,"action, object, instrument, product",derivation: secondary,metonymy: associated action,analysis unclear
bicycle,"thing you ride (for example, a bicycle)",nayōmekoh,nayōmekow (AI2),,,,,,,,???,metonymy: associated action,looks like independent order passive (looks like a participle but it isn't)
"bison, buffalo",,maskūtiah-pesa͞ehkiw,,on the prairie-cow,,,,,,,compounding: N+N,marking reversal (retronym),nb: also got pesa͞ehkiw-maskūtiah once
BOARD,"flat timber, flat board",napākekew,napākekew [< napak- + -ke],"it (animate) is flat in shape [< flat + grow, shape]",,,,,-w,N final,derivation: secondary,metonymy: associated feature (shape),
BOOK,"paper, letter, book, document",masēnahekan,masēnaham,s/he gets it on credit,,,,,-kan,"instrument, product, place, etc.",derivation: secondary,metonymy: associated attribute (artifact),
BOTTLE,bottle; quart,sīqsekwan,"(non-occurring stem; LB says it contains medial -kw- 'nose, snout' before AI -e/-ae.)",,,,,,-n,"action, object, instrument, product",derivation: secondary,???,
BOX,"box, chest, trunk",mahkāh,,,mahk-,"big, large (of single things)",,,-āhkw,"wood, solid",derivation: primary,metonymy: associated substance + feature (size),
BREAD,"bread, wheat, flour",pahkīsekan,*pahkīs- [< pahkw- + -Es],[< wheat + by cutting],,,,,-kan,"instrument, product, place, etc.",derivation: secondary,metonymy: associated action? (product of cutting wheat?),bread = basic use? 
bucksaw,,---,,,,,,,,,---,---,
BULL,,tōnōh,,,,,,,,,borrowing,---,< French taureau
BUTTER,,nōnākanaep-pemēh,,milk-grease,,,,,,,compounding: N+N,metonymy: associated substance (?),
BUTTON,,kepuahkwahekan,kepuahkwaham,"s/he buttons, fastens, buckles it",,,,,-kan,"instrument, product, place, etc.",derivation: secondary,metonymy: associated action,
CABBAGE,"leaf, lettuce, cabbage",anīpiahkan,anēp,"elm, rock elm",,,,,-āhkan,"instrument, product, place, etc.",derivation: secondary,???,
CABBAGE,,wa͞ewiahkipakah,wawiahkipakat,"it has wrapping, enfolding leaves",,,,,,,participle formation,metonymy: associated substance (?),manner?
CALF,,pesa͞ehkīhsaeh,pesa͞ehkiw,"cow, ox",,,,,-æhs,diminutive,derivation: secondary,metonymy: associated feature (size),
Canadian person,"Englishman, Canadian",Sākanās,sākan-,,,,,,-āhs,diminutive,borrowing + derivation: secondary,---,"< French: ""les Anglais"""
cancer,spider; cancer,otāqnapīhkenaew,,,,,,,,,---,semantic extension (other?),appearance?
CANDLE,,wāqnenekan,wāqnenam,"she throws light on it, lights it up",,,,,-kan,"instrument, product, place, etc.",derivation: secondary,metonymy: associated action,or state?
