English word,Source definition(s),Miami-Illinois word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,African American,mahkateelenia,mahkateeleni-,,,,,,,,,,
American / white person,American,mihši-maalhsa,mihši-maalhs-,American,maalhs-,knife,,,,,calque,metonymy: associated attribute (artifact),
APPLE,,mihšiimina,mihšiimin-,big berry,mihši-,big,,,-imin,berry,derivation: primary,metonymy: associated feature (size),
APRICOT,,---,,,,,,,,,,,
Asian person,,---,,,,,,,,,,,
baby,"infant, baby","apiloohsa, apiloohseensa, piloohsa, piloohseensa",,,,,,,,,,,
banana,,keekaanwimini,keekaanwimin-,it is a long berry,keekaanw-,long (of body parts),,,-imin,berry,derivation: primary,metonymy: associated feature (shape),modern coinage
BARLEY,,---,,,,,,,,,,,
bear interest (money),,---,,,,,,,,,,,
beer,it is foamy water; beer,peehsihkikamiiki,peehsihkikamii-,it is foamy water,piihsihk-,"foamy, frothy, scummy",,,-ikamii,water,derivation: primary,metonymy: associated substance,
BEET,,neehpikiciipihkiki,neehpikiciipihkiki-,it is a red root,niihpik-,"blood, red",,,-iciipihki,root,derivation: primary,metonymy: associated feature (color),
bicycle,"bike, bicycle",teehtipihsaata,tehtepihsaa-,,tehtep-,roll,,,-ihsaa,go fast,derivation: primary,metonymy: associated action,modern coinage
"bison, buffalo",Bison (Bison bison),nalaawahki lenaswa,,wild-cow,,,,,,,compounding,,
"bison, buffalo","buffalo, bison, cow ox","alenaswa, ilenaswa",alenasw-,,,,,,,,,,
BOARD,"board, plank","peepakihšiwi, peepakihšiki",papakihši-,it is flat,papak-,"thin, flat",,,-ihši,it is wood,derivation: primary,metonymy: associated feature (shape),
BOOK,a reading book,"wiintaakani, weentaakani",wiintam-,"name it, read it",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
BOOK,"paper, book, writing",mahsinaakani,mahsinaham-,"owe it, buy it on credit",,,,,-aakani,instrumental,derivation: secondary,metonymy: associated action,online dictionary omits 'book' definition (see 'paper')
BOTTLE,"bottle, glass, jar, vase",sakinteewi,,,,,,,,,,,
BOX,"wooden dish, bowl, box","táwaanilaakana, táwaanilaakani",ahtaawani-alaakan-,stick-dish,,,,,,,compounding,extension,"I think Dave Costa has this analyzed as 'dish' becoming a deverbal final instead of a straight compound. The expected 'box' cognate mahkahkwi exists but is glossed as 'barrel, cask'"
BOX,"wooden box, trunk, thousand (dollars)",mihtekowalaakani,mihtekowalaakan-,wooden-dish,,,,,,,compounding,,
BREAD,"biscuit, bread, muffin",waawiinaakani,,,,,,,-aakani,instrumental,derivation: secondary,,
BREAD,wheat bread,pahkweešikani,,,,,,,-aakani,instrumental,derivation: secondary,,
bucksaw,,---,,,,,,,,,,,
BULL,"buffalo bull, cow bull, male animal","kiišiwa, kiinšiwa",,,,,,,,,,,
BUTTER,"oil, grease, lard, tallow, butter",pimi,pim-,,,,,,,,,,
BUTTON,"nail, button","sakahaakana, sakahaakani",sakaham-,"fasten it, nail it",sak-,"fasten, attach",,,,,derivation: secondary,metonymy: associated action,"Gatschet: animate = button, inanimate = nail/screw. Dunn: inanimate = both button & nail/screw"
CABBAGE,"cabbage, lamb's quarters",weepinkopakahki,wiipinkopak-,it is a gray leaf,wiipinkw-,gray,,,-ipakw,leaf,derivation: primary,metonymy: associated feature (color),Dunn says Peorias use this for lamb's quarters
CALF,,alenasoonsa,alenasw-,"buffalo, bison, cow, ox",,,,,,diminutive,derivation: secondary,metonymy: associated feature (size),
Canadian person,,---,,,,,,,,,,,
cancer,"bug, insect, worm","moohsia, moohseewa",,,,,,,,,,semantic extension / metonymy: associated feature (shape),(Tr = ‘gub worm’; LB also = ‘cancer’)
CANDLE,"candle, oil lamp, light",waapantenaakani,waapantenam-,"make it light, bright",,,,,,,derivation: secondary,metonymy: associated action,
car,,šoohkwaakana,šoohkwaakan-,thing that glides > sled/wagon,,,,,,,,extension,"originally attested as an inanimate form meaning 'sled, wagon' (appears in Illinois documentation)"
car,"elastic spring, buggy, any vehicle with springs",šoohšoopaakihsaaki,,,,,,,,,,,
casino,,---,,,,,,,,,,,
cast-iron pot,,---,,,,,,,,,,,
CAT,"cat, bobcat",pinšiwa,,,,,,,,,---,,
CHEESE,cheese,noonaakanaapowi seenahaminki,,milk-squeezed,,,,,,,compounding,metonymy: associated action,
CHICKEN,chicken (general term),pileewa,pileew-,"turkey, chicken",,,,,,,---,extension,
CHICKEN,,aankwaahikwa,cf. nintaankwaahiko,I sweep,,,,,,,,,associated substance = feathers?? Extension from sweeper/broom?
cigarette,,---,,,,,,,,,,,
CLOCK/WATCH,"sun, moon, month, clock",kiilhswa,kiilihsw-,"sun, moon, month",,,,,,,---,semantic extension (function?),
COFFEE,,kaahpi,,,,,,,,,borrowing,---,
COFFEE,,kaahpicaapowi,,,,,,,,,borrowing + secondary derivation,---,
COFFEE,,kociihsaapowi,kociihsaapow- [<kociihs + -aapow],bean liquid,,,,,,,derivation: secondary,metonymy: associated substance,
COLT,,---,,,,,,,,,,,
compass,,---,,,,,,,,,,,
computer,,kiinteelintaakani,kinteelim-,it thinks fast,,,,,-eelim,mental activity,derivation: primary,metonymy: associated action,modern
cookie,,---,,,,,,,,,,,
CORIANDER,,---,,,,,,,,,,,
COW,,"noošiiwa, noošia",,,,,,,,,,,
COW,"buffalo, bison, cow, ox","alenaswa, ilenaswa",,,,,,,,,,semantic extension,
crosscut saw,,---,,,,,,,,,,,
CUP,,"minehkwaakani, minehkwaakana",menehkwaakan-,instrument for eating soup/drinking something,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
CUP,"cup, dipper",minaakani,min-,s/he drinks,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
diaper,,paankonaakani,paankon-,"dry him/her (by hand), change his/her diaper",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
DONKEY,"mule, donkey","keekaanohšia, keekaanohšiiwa",keekaanohšii-,s/he has long ears,keekaanw-,long (of body parts),,,-ehšii,ear,derivation: primary,metonymy: associated attribute (inalienable),
doughnut,,---,,,,,,,,,,,
drill,,---,,,,,,,,,,,
elephant,,weepinkwilookia,weepinkwilooki-,s/he has gray skin,wiipinkw-,gray,,,-ilookii,skin,derivation: primary,metonymy: associated attribute (inalienable),
elevator,,---,,,,,,,,,,,
European person,,---,,,,,,,,,,,
fish with a hook,"go fishing, be fishing (with a line and pole)",peenkihkwaašikwaani,AI from nonattested TA stem *pankihkwaal-,,,,,,-ihkwaal,sew animate,derivation: secondary,,
FLOUR,"flour, wheat flour, wheat","noohkimini, noohkimina, loohkimini, loohkimina",,,,,,,,,,,
FORK,four-pronged fork,neewikoleeki,neewikolee-,it has four noses,niiwi-,four,,,-ikolee,nose,derivation: primary,,"different initials for two pronged forks, three pronged forks..."
French person,Frenchman,meehtikoošia; maamihtikoošia; weemihtikoošiwa; weemihtikoošia,,,,,,,,,,,"four closely related variants, all basically the same ""wooden boat"" forms attested in neighboring languages"
frying pan,,oonsaayosaakani,oonsaayosam-,s/he fries it,oonsaaw-,"yellow, brown",,,-esam,act on it by heat,derivation: primary,metonymy: associated action,modern
GARLIC,"onion, garlic","wiinihsihsia, wiinihsihsiiwa",,,,,,,,,,,
GARLIC,"Skunk (Mephitis mephitis), Garlic (Allium spp.), Wild Ramp",šikaakwa,,,,,,,,,,,modern
German person,,meeleewaatawia,maleewaatawee-,s/he speaks a bad/ugly language,malee-,"ugly, bad, evil",,,-aatawee,speak such a language,derivation: primary,metonymy: associated sensation,
German shepherd,,---,,,,,,,,,,,
GOAT,"goat, stink bug, dung beetle",paapiicihšia,cf. nimpiici,I stink,,,,,,,derivation: primary,metonymy: associated sensation,
GRAPES,blue grapes,kiišiipitonisinki,,mouth itches,kišiip-,itch,-iton-,mouth,,,,metonymy: associated sensation,(D = ‘tickles mouth when eaten’ & ‘the wild grape that ripens first’)
GRAPES,wild grapes (coon grapes),ciipaahkamini,,,,,,,-imin,berry,,,
GRAPES,Fox grape (Vitis labrusca),waawiipinkwahki,waawiipinkwat-,,,,,,,,,,
GRAPES,"Grape (Vitis spp.) / grape, raisin",aahsanteepakwi,aahsanteepakw-,,,,,,,,,,
"grill, roasting frame",,"apwaakani, apweekani",cf. apwaal-,"broil, roast him/her",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
guitar,"violin, guitar, fiddle",noontaahkwaapiikahaakani,noontaahkwaapiikahaakan-,,,,,,,,,,
gun,,papikwani,cf. pipikwani,flute,,,,,,,,,
hammer,"hammer, pestle for pounding corn",pakantaakani,pakantam-,"hit, strike it",,,,,-aakan,instrumental,derivation: primary,semantic extension (from pestle term) & metonymy: associated action,
hardware store,,---,,,,,,,,,,,
HEN,,kweehsia pileewa,,,,,,,,,,,
HORSE,,"neekatikaša, neekatokašia",,single claw,nekatw-,one,,,-ikašii,claw,,,
HORSE,,waawiiwaši-neekatikašia,,carry.a.pack-horse,,,,,,,,metonymy: associated action,
HOUR,one hour,nkóti aantapita kiilhswa,,the clock moves one,,,,,,,periphrasis,metonymy: associated action,
house,"dwelling, house, lodge, wigwam",wiikiaami,,,,,,,,,---,semantic extension,
house,my house,niiki,-iik-,"house, home",,,,,,,,semantic extension,dependent noun
house,frame house,"peepakihšikaani, peepakaahkihšikaani",cf. papankihšeewi,"board, plank",,,,,-ikaan,instrumental,derivation: secondary,,
HUNDRED,"one hundred, 100",nkotwaahkwe,,one bag of corn,,,,,,,,,"only original meaning, in oldest records"
ice cream,,weehkapatenki,wiihkapaten-,it has a distinctive flavor and is cold,wiihkap-,"sweet, salty (distinctive/strong flavor)",,,-aten,it is cold,derivation: primary,metonymy: associated sensation (taste+temperature),modern
internet,"I talk on the phone, use the internet",aacimwaapiaani,aacimwaapii-,,,,,,,,,,modern
KEY,,paahpahaakani,paahpaham-,lock it,,,,,,,,,
laptop/iPad,"small computer, laptop, iPad",kiinteelintaakaanhsi,,,,,,,,diminutive,derivation: secondary,metonymy: associated attribute (size),
LEMON,,oonsaawimini,oonsaawimin-,yellow berry,oonsaaw-,"yellow, brown",,,-imin,berry,derivation: primary,metonymy: associated feature (color),
LETTUCE,,---,,,,,,,,,,,
MARE,"female animal, mare, female dog",ahkweehsimwa,,,,,,,,,,,
MATCH,,pahkwaaleehsihtaakani,pahkwaleehsitoo-,"strike a light, match or flint",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
MATCH,"torch, match",sahkahaakani,sahkaham-,"light it, set fire to it",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
microwave oven,,---,,,,,,,,,,,
MILE,,---,,,,,,,,,,,
MONEY,,"šooli, šoolia",,,,,,,,,,,
monkey,,eelaalaahšiwia,alaahši,pick lice from him/her,,,,,,,,metonymy: associated action,
MULE,"mule, donkey / Mule (mulus)","keekaanohšia, keekaanohšiiwa",keekaanohšii-,s/he has long ears,keekaanw-,long (of body parts),,,-ehšii,ear,derivation: primary,metonymy: associated attribute (inalienable),
MULE,"half horse'; i.e., a mule",napale neekatikašia,,half horse,,,,,,,,,
musical instrument,"music, musical instrument",noontaahkwahaakani,noontaahkwahaakan-,thing that shouts/makes noise/makes a cry,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,"Dunn: Fiddle, violin; Gatschet: piano"
NAIL,,sakahaakani,sakaham-,"fasten it, nail it",sak-,"fasten, attach",,,,,derivation: secondary,metonymy: associated action,"Gatschet: animate = button, inanimate = nail/screw. Dunn: inanimate = both button & nail/screw"
