English word,Source definition(s),NE Cree word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,black person,wiyipaashtikushiiu,[wiyipisiu],[s/he is black],,,,,,,??,metonymy: associated feature (color),
African-American person,black person,wiyipiiyiyiu,[wiyipisiu],[s/he is black],,,,,,,??,metonymy: associated feature (color),
American / white person,,mishimuhkumaan,[mishaau + muuhkumaan],[it is big + knife],,,,,,,compounding?,metonymy: associated attribute (artifact),"""literally 'big knife'"""
APPLE,,waapimin,,,(waap- (?)),(white (?)),,,-min,"berry, fruit, pit, bead",derivation: primary (?),metonymy: associated feature (color)?,link to nominalizations
APRICOT,,---,,,,,,,,,---,---,link-1 to participles
Asian person,,---,,,,,,,,,---,---,
baby,"new baby, newborn",ushkiwaashish,[cf. (ushki?) + awaash,new + child,,,,,-sh,diminutive,derivation: secondary,??,link-2 to participles
banana,,kaawaakaaskuhch,waakaask(-u)?,it (stick-like) is bent,,,,,-ch,participle,Participle formation,metonymy: associated feature (shape),link-3 to participles
BARLEY,,---,,,,,,,,,---,---,
bear interest (money),,---,,,,,,,,,---,---,
beer,,kaapiishtaaupiyishich,piishtaaupiyiu,"it foams up (AI, II)",,,,,,,Participle formation,metonymy: associated action,
BEET,,---,,,,,,,,,---,---,
bicycle,,tihtipiwepuhuusuwaakan,,,,,,,-kan,nominalizer,derivation: secondary,??,
"bison, buffalo",,---,,,,,,,,,---,---,
BOARD,wooden board,nipikaahtikw,napak-/napach-?,flat?,,,,,-aahtikw?,wood?,derivation: secondary,metonymy: associated feature (shape) + substance?,
BOOK,"letter, book",misinihiikin,[cf. misinihiichaau],[s/he writes],,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,"-kin called ""concrete final"" but no meaning given"
BOTTLE,"glass bottle, jar",piywaapiskuyaakin,piywa + -apisk- (M) or -aapisk (F) + ?,"metal + metal, rock, glass, mineral",,,,,-kin,nominalizer,derivation: secondary,metonymy: associated substance (?),
BOX,wooden box,mishtikuwit,,,mishtik (?),wooden (?),,,,,??,metonymy: associated substance (?),
BREAD,,piiswaayaaihkunaau,,,,,,,,,??,??,
bucksaw,"saw, bucksaw",chimipuchikin,,,,,,,-kin,nominalizer,derivation: secondary,??,
BULL,,---,,,,,,,,,---,---,
BUTTER,,pit,,,,,,,,,borrowing,---,from English (interesting truncation) or from French beurre?
BUTTON,,sichipaasun,,,,,,,,,??,??,
CABBAGE,,---,,,,,,,,,---,---,
CALF,,---,,,,,,,,,---,---,
Canadian person,,---,,,,,,,,,---,---,
cancer,,---,,,,,,,,,---,---,
CANDLE,"lamp, light, candle",waashtaanimaakin,,,,,,,-kin,nominalizer,derivation: secondary,??,
CANDLE,wax candle,kaapimiiwaaskuhch,,,,,,,,,??,??,
car,,uchaapaanish,,,,,,,-sh (?),diminutive (?),derivation: secondary (?),??,
car,,utaapaanaaskw,,,,,,,,,??,??,
casino,,---,,,,,,,,,---,---,
cast-iron pot,,nipikischihkw,,,nipik-,flat?,,,-ischihkw,"kettle, pail ?",??,metonymy: associated feature (shape) (?),
CAT,,puushii,,,,,,,,,borrowing,---,from English
CHEESE,,---,,,,,,,,,---,---,
CHICKEN,,paahkihaakwaan,,,,,,,,,onomatopoeia,Metonymy: associated sensation (sound),
cigarette,,kaachisikaahkisut,chisik(?),pole(?),,,,,,,Participle formation,??,
CLOCK/WATCH,,piisimuhkaan,[cf. piisimuu],[cf. 'sun is still shining before sunset'],,,,,,,??,??,
COFFEE,,kwaahpii,,,,,,,,,borrowing,---,from English
COLT,,---,,,,,,,,,---,---,
compass,,kaachiiwaatikupiyit,chiiwaau(?),s/he goes home (?),,,,,,,participle formation,??,
computer,,nitwaapihchikin,,,,,,,-kin,nominalizer,derivation: secondary,??,
cookie,,aaihkunaashish,[cf. aaihkunaau],"[bannock, cake]",,,,,-sh,diminutive,derivation: secondary,??,
CORIANDER,,---,,,,,,,,,---,---,
COW,,mistisu,,,,,,,,,??,??,
crosscut saw,,---,,,,,,,,,---,---,
CUP,"cup, glass",minihkwaakin,minihkwaau,s/he drinks,,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,
diaper,,aasiyaan,,,,,,,,,??,??,
DONKEY,,---,,,,,,,,,---,---,
doughnut,,---,,,,,,,,,---,---,
drill,,pikunaahiikin,pikunaahim,s/he makes a hole in it using a tool,,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,
elephant,,---,,,,,,,,,---,---,
elevator,,kaaiskwaahtiwaapiyich,[-piyi],[move],,,,,,,participle formation,??,
European person,,---,,,,,,,,,---,---,
fish with a hook and line,,uchikwaachichaau,,,,,,,,,??,??,
FLOUR,,pihkwaashikinich,[pihkwaa- + ? + -kin],[piece? + ? + nominalizer],,,,,,diminutive?,??,??,
FORK,,chihkihaamaapun,,,,,,,,,??,??,
FORK,"fork, hypodermic needle, piercing tool",chiishtihiikin,[cf chiishtiham],[s/he pricks it; s/he roasts meat on a stick],,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,
French person,,pishtikwaayaau,,,,,,,,,??,??,
frying pan,,paanischihkw,,,paan-,open? maybe borrowed?,,,-ischihkw,"kettle, pail ?",derivation: primary?,??,
GARLIC,,---,,,,,,,,,---,---,
German person,,---,,,,,,,,,---,---,
German shepherd,,---,,,,,,,,,---,---,
GOAT,,maayutihkush,,,,,,,,diminutive?,??,??,
GRAPES,,miinishh (pl.) < miinish,,,,,,,,diminutive?,---,semantic extension (appearance),probably the dim. of 'berry'
GRAPES,,kaashimushichh,,,,,,,,,---,---,
"grill, roasting frame",,---,,,,,,,,,---,---,
guitar,,paanischihkw,,,,,,,,,---,Semantic extension (shape),cf. paanischihkw 'frying pan'
guitar,,kaamihchaatwaapaakimuchh,,,,,,,,,??,??,
gun,,paaschisikin,paaschisikin [< paasch- + -is],"similar to Ojibwe: shoot it [< burst, broken open (esp. of three-dimensional objects) + act on it by heat",,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,
hammer,"hammer, pounder",utaamihiikin,cf. utaamiham,s/he hits it with something,,,,,-kin,nominalizer,derivation: secondary,metonymy: associated action,
hardware store,,---,,,,,,,,,---,---,
