English word,Source definition(s),Nishnaabemwin word [full vowel form],Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,"black man, racially black man",mkadewnini [makadewíniniw],makade- (pn) + íniniw,black + man,,,,,,,compounding: preN + N,metonymy: associated feature (color),
American / white person,"1. American, esp. an American of white race, 2. white man, racially white man",gchi-mookmaan [gichi-mookomaan],gichi- (prenoun) + mookomaan,"big, great, major + knife",,,,,,,compounding: preN + N,metonymy: associated attribute (artifact),
APPLE,,waabmin [waabimin],,,waab,white; gray; pale,,,min,"berry, relatively round fruit, acorn; wheat, rice; bead",derivation: primary,"metonymy: associated feature (color, size, shape)",
APPLE,,mshiimin [mishiimin],,,mish,"big, large",,,min,"berry, relatively round fruit, acorn; wheat, rice; bead",derivation: primary,"metonymy: associated feature (size, shape)",
APRICOT,,---,,,,,,,,,---,---,
Asian person,,---,,,,,,,,,---,---,
baby,,biibiins,[biibii-],baby,,,,,-ens,diminutive,borrowing + derivation: secondary,---,presumably < French bébé?
banana,,wewaagaag,(waagaa vi),"(be bent, be crooked, be warped, warp)",(waag-),"(curved; semi-circular; bent, crooked, warped)",,,,,participle formation,metonymy: associated feature (shape),"""lit., that which is curved""; reduplication. Participle?"
BARLEY,,---,,,,,,,,,---,---,
bear interest (money),,---,,,,,,,,,---,---,
beer,,baatewaagmisek [baatewaagamiseg],biitewaagmise vii,"[liquid] foam up, get frothy, get sudsy",,,,,,,participle formation,metonymy: associated action,"""lit., frothy liquid, foamy liquid"""
BEET,,msko-jiis [misko-jiis],msko- [misko- prenoun] + jiis,"red- + turnip, radish",,,,,,,compounding: prenoun+N,metonymy: associated feature (color),"""lit., red rootlike vegetable"""
bicycle,,biimskowebshkigan [biimiskowebishkigan],biimskowebshkige [< biimskowebshkaan],"bicycle, pedal [on a bicycle] [< turn sth. around [with one's weight], set sth. spinning [with one's weight]]",,,,,-gan,instrumental nominalizer,derivation: secondary,metonymy: associated action,
"bison, buffalo",,bgoji-bzhiki [bagoji-bizhikiw],bgoji- [bagóji; prenoun] + bzhiki [bizhikiw],wild + cow,,,,,,,compounding: prenoun+N,marking reversal (retronym),
BOARD,,bsagaak [basagaak],,,,,[OPD /-sag-/],"[wood: timber, cut wood, house wall, flooring]",,,derivation: primary?,???,
BOOK,"paper, piece of paper, note; newspaper; book, notebook; bill, invoice; ticket",mzin'igan [mazinahigan],(cf. mzin'ige vai),"(cf. buy on credit, get on credit, owe money)",,,,,-gan,instrumental nominalizer,derivation: secondary,metonymy: associated attribute (artifact)?,
BOTTLE,,mooday,,,,,,,,,???,???,
BOX,,mkak [makak],,,,,,,,,???,???,
BREAD,,bkwezhgan [bakwezhigan],bakwe- + -izh + -ige,"piece, fragment, chip + cut TI + detransitivizer",,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,(stuff you cut?)
bucksaw,,---,,,,,,,,,---,---,
BULL,,---,,,,,,,,,---,---,
BUTTER,,zaaw-bmide [[o]zaaw-bimide],zaaw- (pn) + bimide,"brown, orange, yellow + grease, lard, oil, shortening",,,,,,,compounding: prenoun+N,metonymy: associated feature (color),"""lit., yellow lard or grease"""
BUTTER,,shoogan [[zha]shoogan],[OPD: zhizhoo'igan],[s/he spreads things using something],,,,,-gan,instrumental nominalizer,derivation: secondary,metonymy: associated action,no analysis given
BUTTON,,gbadoons [gibadoons],[cf. initial gib-],"[cf. 'covered, closed']",,,,,-ens,diminutive,derivation: secondary,???,
BUTTON,,mbadnis [mbadønis],,,,,,,,,???,???,
BUTTON,,bgadoonh [bagadoonh],,,,,,,,,???,???,
BUTTON,,dbadoonh [døbadoonh],,,,,,,,,???,???,
CABBAGE,,gchi-niibiish [gichi-aniibiish],gchi-niibiish,big-leaf,,,,,,,compounding: preN+N,metonymy: associated feature (size),also substance?
CABBAGE,,eshoonh [eshoonh],,,,,,,,,???,???,
CALF,,---,,,,,,,,,---,---,
Canadian person,"Canadian, Englishman",Zhaagnaash [zhaaganaash],,,zhaag-,weak,,,[naash?],[chase?],???,???,???
cancer,,---,,,,,,,,,---,---,
CANDLE,votive candle,nam'e-waaskonenjgaans [anamahe-waasakonenjgaans],nam'e-waaskonenjgaans,praying-light [dim],,,,,,,compounding: preN+N (?),metonymy: associated action,"""lit., praying candle"""
car,"car, wagon",daabaan [odaabaan],[OPD: odaabii],"[OPD: s/he drags, pulls a load; pulls a sled]",,,,,[OPD: -n],[nominalizer],derivation: secondary,metonymy: associated action,
casino,,gweji-bkinaagewgamig [[ga]gweji-bakinaagewigamig],ggweji- (preverb) + bkinaage (vai),try + win,,,,,-gamigw,"building, house, room",derivation: secondary,metonymy: associated action,"""lit., trying-to-win establishment"""
