English word,Source definition(s),Ojibwe word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,a Black person; a person of African descent,makadewiiyaas,,,makadew-,black,,,,,derivation: primary (?),metonymy: associated feature (color),
American / white person,"1. a white person, 2. an American",gichi-mookomaan,,big-knife,,,,,,,compounding: preN+N,metonymy: associated attribute (artifact),
APPLE,,mishiimin,,,mis-,"big, large",,,-min,small and globular; berry,derivation: primary,metonymy: associated feature (size),(not analyzed in dictionary)
APRICOT,,---,,,,,,,,,---,---,
Asian person,an Asian,aniibiishaabookewinini,aniibiishaabooke-,s/he makes tea,,,,,-wininiw,"man, person",derivation: secondary; nominalization,metonymy: associated action,
baby,,biibiiyens,[biibiiy],baby,,,,,-ns,diminutive,borrowing + derivation: secondary,---,"presumably < French bébé?. [OED 'babe': Of uncertain origin. Probably an imitative or expressive formation. Perhaps formed within English, by clipping or shortening.] French etymology"
banana,,wewaagijiizid,waagijiiyaa [< waag- + -jii- + -izi],[< bent + -body- + -AI],,,,,,,derivation: secondary?,metonymy: associated feature (shape),reduplicated; built off AI verb but what's the d?
banana,,gaa-waagijiiyaag,waagijiiyaa [< waag- + -jii- + -aa],[< bent + -body- + -state/condition] (II),,,,,,,participle formation,metonymy: associated feature (shape), 'it (something three-dimensional and soft) is bent' [gaa- 'something that' - past tense preverb w/ IC]; built off II verb - is this a participle?
banana,root of water plant sp.; a banana,akandamoo,,,,,,,,,---,semantic extension (appearance?),
BARLEY,,---,,,,,,,,,---,---,
bear interest (money),,---,,,,,,,,,---,---,
beer,,zhingobaaboo,zhingob /zhingoby-/,balsam fir (na),,,,,-aaboow,useful or consumable liquid,derivation: secondary,metonymy: associated substance,"""Back in Colonial times, hops were rare, so the colonists made a beer with molasses and used spruce or fir tips in place of the hops."""
beer,,biitewaaboo,biite /biitew-/,foam (ni),,,,,-aaboow,useful or consumable liquid,derivation: secondary,metonymy: associated substance (?),Might be associated state?
