English word,Source definition(s),Passamaquoddy-Maliseet word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,"black person, African-American (especially, man)",mokosewin,[cf. mokoseweyu],"[cf. s/he, it is black in color]",,,,,,,derivation: secondary,metonymy: associated feature (color),
African-American person,"black person, black man, African-American",polahkomen,,,,,,,,,borrowing,---,"""from English, black man"""
American / white person,(person) American,malihkin,,,,,,,,,borrowing,---,"""from French, américain, or English, American"""
APPLE,,cikon,???,,,,,,,,???,???,
APRICOT,,---,,,,,,,,,---,---,
Asian person,(person) Chinese,cayonis,,,,,,,,,borrowing,---,presumably from English
Asian person,Japanese (person from Japan),cehponis,,,,,,,,,borrowing,---,"""from English, Japanese"""
baby,"child, baby",wasis,???,,,,,,,,???,???,
banana,,ponanas,,,,,,,,,borrowing,---,"""from English, banana"""
BARLEY,,pali,,,,,,,,,borrowing,---,
bear interest (money),,---,,,,,,,,,---,---,
beer,,piye,,,,,,,,,borrowing,---,"""from English, beer"""
beer,,pihtewiyak,[cf. pihtewiye],"[cf. s/he, it foams]",,,,,,,participle formation,metonymy: associated action,"""participle"""
beer,,tukcokiyak,[cf. tukcokiye],"[cf. (liquid) s/he, it foams up]",,,,,,,participle formation,metonymy: associated action,"""literally, something that foams up"""
beer,spruce beer,"kawatokup, kawatokop",[cf. kawatoq],[cf. black or bog spruce],,,,,,,derivation: secondary?,metonymy: associated substance (?),
BEET,,mehqapskosit,???,???,[mehq-],[red],,,,,participle formation,metonymy: associated feature (color) (?),"""participle"""
BEET,elongated beet,mehqaqsit,???,???,,,,,,,participle formation,,
bicycle,"bicycle, tricycle",payosihkol,,,,,,,,,borrowing,---,"""from English, bicycle"""
bicycle,"(animate) bicycle, tricycle, bowling-ball; (inanimate) skateboard",lipokomasut,???,???,,,,,,,participle formation?,???,
bicycle,"bicycle, tricycle; ice-skate","pomikopomut, pomipokomut","[cf. pomikopomu, pomipokomu]","[cf. s/he skates along, bicycles along]",,,,,,,???,???,"(not a participle, because the changed form of the verb is pemikopomi-, pemipokomi-)"
"bison, buffalo","buffalo, bison",maspi-mikikonat,[maspi- + mikikon],[thick? + h/ chest],,,,,,,participle formation?,metonymy: associated attribute (inalienable),"""literally, one who is thick-chested"" [this implies it's a participle]"
"bison, buffalo","buffalo, bison (Ma)",paspiposqonat,,,[pasp?],[thick],,,,,participle formation?,metonymy: associated attribute (inalienable),"""literally, one who is thick-humped"" [this implies it's a participle]"
"bison, buffalo","buffalo, bison",paskapski-mikikonat,[cf. paskapskonike + mikikon],[cf. s/he breaks lump-like objects with hand(s) + h/ chest],,,,,,,participle formation?,metonymy: associated attribute (inalienable) + feature (size)? Or associated action? (bursting),"""literally, one whose chest is so big that it's bursting"" [this implies it's a participle]"
BOARD,"(wood) board, piece of lumber",psiksoq,[cf. psik- preverb],"[cf. splitting, split (apart); cracked]",,,,,,,???,???,
BOOK,"book, letter (correspondence), document, any written material",wikhikon,[cf. wikhike],"[cf. s/he writes, paints, draws, takes picture, etc.]",,,,,,,[derivation: secondary (?)],metonymy: associated action (?),guessing
BOOK,"book; counter, counting stick",okitomakon,[cf. 't-okitomon],[cf. s/he counts it; s/he reads it],,,,,,,[derivation: secondary (?)],metonymy: associated action (?),guessing
BOTTLE,,puhtay,,,,,,,,,borrowing,---,"""from French, bouteille"""
BOX,,paksis,,,,,,,,,borrowing,---,"""from English, box"""
BOX,"(container for storage) hamper, case, chest, box, cabinet; duffle-bag",tuwahtahsut,[cf. tuwahtahsu],"[cf. s/he fills a container, packs]",,,,,,,participle formation?,metonymy: associated action,
BREAD,bread; piece or loaf of bread,opan,,,,,,,,,borrowing,---,[from French pain]
bucksaw,,---,,,,,,,,,---,---,
BULL,"breeding bull, stud horse",nutolusessit,[cf. lusessu],[cf. he has sexual intercourse],,,,,,,participle formation,metonymy: associated action,
BUTTER,,molaqsipom,[molaqs],[milk],,,,,,,[derivation: secondary (?)],metonymy: associated substance,guessing
BUTTON,,pahtonoss,,,,,,,,,borrowing,---,"""from English, button"""
CABBAGE,(animate) cabbage,kapic,,,,,,,,,borrowing,---,"""from English, cabbage"""
CALF,,---,,,,,,,,,---,---,
Canadian person,(person) Canadian (Pa),tokamonuhkew,[cf. Tokamonuhk],[cf. Canada],,,,,,,derivation: secondary?,???,
cancer,,kensa,,,,,,,,,borrowing,---,"""from English, cancer"""
cancer,"spider; cancer, cancerous tumor",amushopihk,,,,,,,,,---,semantic extension (other?),
CANDLE,,kenotols,,,,,,,,,borrowing,---,"""from English, candle"""
car,"automobile, car",atomupil,,,,,,,,,borrowing,---,"""from English, automobile"""
car,"(railroad, automobile) car; train, bus",kas,,,,,,,,,borrowing?,---,"""from English, car"""
casino,,Qaqsossahkik,,"to, at Foxwoods (resort and casino of the Mashantucket Pequot Tribal Nation)",,,,,,,---,semantic extension (?),"""literally, in the land of the foxes"""
cast-iron pot,,---,,,,,,,,,---,---,
CAT,,psuwis,[cf. posu],[cf. bobcat],,,,,,,borrowing,---,
CHEESE,,ocis,,,,,,,,,borrowing,---,"""from English, cheese"""
CHICKEN,"chicken, hen",ehem,,,,,,,,,borrowing?,---,"""perhaps from English, hen"""
cigarette,,sikorets,,,,,,,,,borrowing,---,"""from English, cigarette"""
cigarette,,wiqsonehtasit,-wiqsonehtom- [< wiqsonehtomon],"[s/he inhales it (smoke, etc.)]",,,,,,,participle formation,metonymy: associated action,"""literally, that which is inhaled"" [this implies it's a participle]"
cigarette,,wapaqsit,[cf.  wapaqsu],[cf. (something stick-like) s/he is white],,,,,,,participle formation?,metonymy: associated feature (shape and color?),
CLOCK/WATCH,"clock, watch (Ma)",wiwoni-acihikon,wiwoni (wiwon-) preverb + ???,"around in a circle; encircling, orbiting + [move???]",,,,,,,compounding: preN+N(?),metonymy: associated action (?),cf. acihpute 'its vibration causes it to move to new location; it moves or shifts from shaking'
CLOCK/WATCH,"clock, timepiece",kolahk,,,,,,,,,borrowing,---,"""from English, clock"""
COFFEE,,kahpe,,,,,,,,,borrowing,---,"""from French, café, or English, coffee"""
COLT,(young horse) colt,kultossis,,,,,,,,[guessing dimin.],borrowing + derivation: secondary (?),metonymy: associated feature (size) (?),guessing from English
