English word,Source definition(s),Plains Cree word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,,---,,,,,,,,,---,---,
American / white person,"American; literally: ""great-knife""",kihci-môhkomân,[big-knife],,,,,,,,compounding: N+N (or preV+N?),metonymy: associated attribute (artifact),
APPLE,,wâsaskwêcowas,wasaskwê- + -atow,??,,,,,,,---,---,
APPLE,,picikwâs,pitikw- + -â,??,,,,,-is,diminutive,derivation: secondary,??,
APRICOT,,---,,,,,,,,,---,---,
Asian person,Chinese person; spider,apihkês,apihkê- [apihk- + -ê],"[braid, weave?]",,,,,-s(i),diminutive?,derivation: secondary,metonymy: associated attribute (inalienable?),"PA *ap- 'braid, weave' + *-ehke: 'produce'; see queue"
baby,,pêpîsis,pêpî-,baby,,,,,-isis,diminutive,borrowing + derivation: secondary,---,"""English loan: ""baby""""; see Ojibwe OPD discussion"
banana,"banana; [literally: ""hornberry""]",otêskanimin,"otêskan- [êskan- 'horn, antler']",(its) horn,,,,,-min,berry,derivation: secondary,metonymy: associated feature (shape),[from Itwêwina dictionary]
BARLEY,barley / girl doll,iskwêsisihkân,iskwêsis- [iskwêw- + -isis],woman (diminutive),,,,,-ihkân,"substitute, surrogate [HCW]",derivation: secondary,??,
bear interest (money),,---,,,,,,,,,---,---,
beer,"beer: literally: ""barley liquid""",iskwêsisihkânâpoy,iskwêsisihkân,"barley, girl doll",,,,,-âpoy,liquid,derivation: secondary,metonymy: associated substance,"""lit. barley-liquid"""
beer,"beer, bottle of beer",iskwêsisâpoy,iskwêsis- [iskwêw- + -isis],woman (diminutive),,,,,-âpoy,liquid,derivation: secondary,metonymy: associated substance (?),see next entry
BEET,beets,kâ-mihkwaskwâki,mihkw- + -askw- + -â,[red(?) + wood/solid + ?,,,,,-ki,,??,??,
bicycle,"bicycle; literally: ""little two-leg""",nîsokâcis,,,nîsw-,two,-kât-,leg,-is,diminutive,derivation: primary (?),metonymy: associated attribute (inalienable),"""literally: ""little two-leg"""""
bicycle,,cihcipayapiskikanis,tihtipayapiskikan-,,,,,,-is,diminutive,derivation: secondary,??,
"bison, buffalo",,paskwâwi-mostos,,"prairie-cow, cattle, buffalo",,,,,,,compounding: N+N,marking reversal (retronym),
"bison, buffalo","buffalo, plains bison",iýinito-mostos,"[ordinary(?)-cow, cattle, buffalo]",,,,,,,,compounding: N+N (or preverb + N?),marking reversal (retronym)?,
BOARD,"board, floor-board, flat lumber, plank; flat wooden object",napakihtak,,,napak-,flat (?),,,-ihtakw,??,derivation: primary,metonymy: associated feature (shape)?,
BOARD,"flat board, plank",napakâhtik,,,napak-,flat (?),,,-âhtikw,"tree, stick; wooden",derivation: primary,metonymy: associated feature (shape),
BOOK,"book; letter, mail; written document, report, paper; magazine; will",masinahikan,masin- + -ah,,,,,,-ikan,[nominalizer?],derivation: secondary,??,
BOTTLE,"bottle, jar, jug, flask",môtêyâpisk,,,"""môtê-""",,,,-âpiskw,,??,??,"""môtê-"" written with quotes - borrowing?"
BOX,"box, trunk",mistikowas,mistik [mistikw-],"stick, log, pole, post, wood, wooden rail; club",,,,,-waT-,,derivation: secondary,??,
BREAD,"bread, bannock, flour",pahkwêsikan,pahkwês-,[pahkw- 'dry' ??],,,,,-ikan,[nominalizer?],derivation: secondary,??,
bucksaw,,kîskipocimihtâkan,[kîskipot- 'saw' + miht 'wood'(?)],,,,,,-âkan,[nominalizer?],??,??,or does miht and âkan go together?
BULL,,---,,,,,,,,,---,---,
BUTTER,,tohtôsâpôwipimiy,tohtôsâpoy- + [-wi-] + pimiy-; tohtôs 'breast'; tohtôsâpoy 'milk'; pimiy 'grease (rendered); lard; shortening; oil; butter; fat; crude petroleum' ,[milk grease],,,,,,,derivation: secondary? (or compounding?),?,"""description""? ""source-result""?"
BUTTON,,sakipâson,,,,,,,,,??,??,
BUTTON,,sakwâskwahon,,,,,,,,,??,??,
BUTTON,"hitch, clasp; button",âniskamân,âniskamâ- [cf. âniskê],"? [successively, one joining to the other]",,,,,-n,[nom?],??,??,
CABBAGE,,otêhipak,otêh-,? (heart?),,,,,-pakw,(leaf?),??,metonymy: associated feature (shape) (?); associated substance,
CALF,,moscosis,moscos,cow,,,,,-is,diminutive,derivation: secondary,metonymy: associated feature (size),
Canadian person,"Whiteman; non-Indian, non-First Nations man; Canadian, Canadian male",môniyâw,,,,,,,,,borrowing,---,"""European loan; adapted from French pronunciation of ""Montréal"""""
cancer,,---,,,,,,,,,---,---,
CANDLE,"candle, little light",wâsaskocênikanis,wâsaskotênikan,"lamp, light",,,,,-is,diminutive,derivation: secondary,metonymy: associated feature (size),
CANDLE,wax candle,wâsitêpimâkan,wâsitêpimê-,??,,,,,-ikan,[nominalizer?],derivation: secondary,??,
car,"passenger car, train",pôsiwin,,,pôs-,"[get in, on?]",,,-win,,derivation: primary,metonymy: associated action,
car,,"see 'sled, toboggan'",,,,,,,,,---,---,
car,,sêhkêw,,,sêhkê-,(by itself),,,-w,?,??,??,
car,"automobile, car",sêhkê-pimipaýîs,sêhkê- + [pimipaýi- + -is],"by itself, of own accord; move ahead of own accord; willingly + [pimipaýi- 'move along'? + diminutive?]",,,,,,,compounding: preV+N (?),metonymy: associated action + ???,
car,"automobile, car",sêhkêpaýîs,sêhkêpaýiw- [sêhkê- + -payi],"by itself, of own accord; move ahead of own accord; willingly + move",,,,,-is,diminutive,derivation: secondary,??,little thing that moves by itself?
casino,,---,,,,,,,,,---,---,
cast-iron pot,cast-iron pail,asiskîhkwânâpisk,"asiskîhkwân- [askihkw- 'pail, bucket, kettle, pot]",,,,,,-âpiskw,stone or solid of similar consistency,derivation: secondary,metonymy: associated substance,
CAT,,minôs,,,,,,,,,borrowing,---,"""French loan: ""minou"""""
CAT,,pôsîw,,,,,,,,,borrowing,---,"""English loan: ""pussy"""""
CAT,glutton; cat,kâsakês,kâsakêw-,"s/he is gluttonous, s/he eats a lot; s/he is greedy",,,,,-is,diminutive,derivation: secondary,metonymy: associated state?,
CHEESE,"cheese; literally: ""mouse-food""",âpakosîsi-mîciwin,âpakosîs-mîciwin,mouse-food,,,,,,,compounding: N+N,??,"""literally: ""mouse food"""""
CHICKEN,"chicken, domestic chicken",pâhkahâhkwân,,,,,,,,,onomatopoeia,metonymy: associated sensation (sound),
cigarette,,pîhcwâkanis,pîhtwâkan-,"tobacco; pipe, cigarette holder",,,,,-is,diminutive,derivation: secondary,??,probably 'little pipe'?; has diminutive C symbolism
cigarette,,pîhcwâwinis,pîhtwâwin-,?,,,,,-is,diminutive,derivation: secondary,??,has diminutive C symbolism
cigarette,,tihtipêkinikanis,tihtipêkinikan-,[cf. tihtipêkinêw 's/he rolls s.o. up (in paper)'; /tihtip-/ (round?) + /-êk-/ (clothlike) + /-n/],,,,,-is,diminutive,derivation: secondary,metonymy: associated state? + assoc. feature (shape),"surprised it doesn't have diminutive C symbolism [from Itwêwina dictionary, not in PCOD]"
CLOCK/WATCH,"clock, watch",pîsimohkân,pîsimohkê- [cf. pîsim],[cf. sun; moon; month],,,,,-n,[nominalizer?],derivation: secondary (?),??,
COFFEE,,pihkasikanâpoy,pihkasikan [< pihk- + -ikan],toast [? + nominalizer],,,,,-âpoy,liquid,derivation: secondary,??,
COFFEE,,kâspisikan,kâspis- [cf. kâspisam],"[cf. s/he heats s.t. until crisp, s/he heats s.t. until brittle]",,,,,-ikan,[nominalizer?],derivation: secondary,metonymy: associated action and resulting state?,
COFFEE,,pihkahtêwâpoy,cf. pihkahtêw,cf. it is burnt (as a roast),,,,,-âpoy,liquid,derivation: secondary,metonymy: associated state?,
COLT,"little horse, pony, foal, colt",misacimosis,misatim [misatimw-],horse,,,,,-isis,diminutive,derivation: secondary,??,
COLT,"yearling horse, colt; yearling moose, one-year old moose",piponâskos,,,pipon-,"year, winter",-âskw-,wood/solid,-is,diminutive,derivation: primary,??,
compass,,otihtahikan,otihtahêw [otihtah-],s/he brings s.o. up to something,,,,,-ikan,[nominalizer?],derivation: secondary,metonymy: associated action,
