English word,Source definition(s),Potawatomi word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
African-American person,,Mékdénni,,,,,,,,,participle formation,metonymy: associated feature (color),assuming this is a participle from *makade-ininiiw- 'he is a black man'
African-American person,,Mkedénene,,,,,,,,,compounding: preN+N,metonymy: associated feature (color),
American / white person,white person,Kche-mokman,,,,,,,,,compounding: preN+N,metonymy: associated attribute (artifact),
American / white person,white person,Chemokman,,,,,,,,,compounding: preN+N,metonymy: associated attribute (artifact),
American / white person,white person,wabshkiwét,,,wabshk-,white,,,,,participle formation,metonymy: associated feature (color),"cf. Ojibwe -iiwag- 'flesh, meat, muscle'"
APPLE,,mshimen,,,meshi-,big,,,-men,berry,derivation: primary,metonymy: associated feature (size),
APRICOT,,--,,,,,,,,,,,
Asian person,,--,,,,,,,,,,,
baby,,bibis,,,,,,,,,diminutive,borrowing + secondary derivation,
baby,,mbibis,,,,,,,,,diminutive,borrowing + secondary derivation,
banana,,bnéno,,,,,,,,,borrowing,,
BARLEY,,--,,,,,,,,,,,unverified form from Welcher corpus: mzemen
bear interest (money),,--,,,,,,,,,,,
beer,,bishtéwabo,bishté,it is foamy,,,,,-abo,liquid,derivation: secondary,metonymy: associated substance,"unexplained esh in the stem, which is otherwise unattested"
BEET,,msko-jis,,,,,,,,,compounding: PreN+N,metonymy: associated feature (color),
bicycle,,détbejéshkwayek,,,,,,,,,participle formation,metonymy: associated action,
bicycle,,détbejéshkgazet,,,,,,,,,participle formation,metonymy: associated action,
"bison, buffalo","buffalo, bison",bgoj-bzheke,,,,,,,,,compounding: N+N,marking reversal,sometimes bgwech-
"bison, buffalo","buffalo, bison",mshkodé-bzheke,,,,,,,,,compounding: N+N,marking reversal,sometimes bgwech-
BOARD,,msegak,,,,,,,,,borrowing,--,borrowed from Meskwaki (Costa 2013:207)
BOOK,"1. paper 2. book 3. document 4. letter, card",mzen'egen,nmezne'an [<mezen- -e'],I owe it on credit,,,,,-egen,nominalizer,derivation: secondary,metonymy,
BOTTLE,"1. bottle, jar 2. gallon",modey,,,,,,,,,borrowing,--,"speculated in Valentine 1994:636, cf. French bouteille"
BOX,"box, container",mkek,,,,,,,,,semantic extension,,
BREAD,,bkwézhgen,ndepkwézhan,I cut off a piece of it,,,,,-egen,nominalizer,derivation: secondary,metonymy: associated action,
BREAD,,pkwézhgen,ndepkwézhan,I cut off a piece of it,,,,,-egen,nominalizer,derivation: secondary,metonymy: associated action,
bucksaw,,--,,,,,,,,,,,
BULL,,gégneshi,,,,,,,,,,,
BUTTER,,bzheki-bmedé,,,,,,,,,?,?,
BUTTER,,mbedé,,,,,,,,,borrowing,--,
BUTTON,,--,,,,,,,,,,,
CABBAGE,,--,,,,,,,,,,,
CALF,,--,,,,,,,,,,,
Canadian person,,Zhagnashi,,,,,,,,,borrowing,--,Valentine 1994:922
cancer,,kche-napnéwen,kche-napné,he/she is greatly ill,,,,,-wen,nominalizer,compounding: PreN+N,semantic narrowing,
CANDLE,,--,,,,,,,,,,,
car,,wdabyan,cf. nde#dabana,I drag him/her,,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,sometimes without initial short /o/
car,,admobin,,,,,,,,,borrowing,--,
casino,,tadiwgemek,tadi,"gamble, play cards",,,,,-wgemek,building,derivation: secondary,metonymy: associated action,
cast-iron pot,,--,,,,,,,,,,,
CAT,,mayos,,,,,,,,,onomatopoeia,metonymy: associated sensation (sound),
CHEESE,,jis,,,,,,,,,borrowing,--,
CHICKEN,,bidi,,,,,,,,,,,mystery
cigarette,,pwagas,pwagen,pipe,,,,,-as,diminutive,derivation: secondary,semantic extension,
CLOCK/WATCH,,dbe'giswan,*debe'gizeswem?,"s/he measures, divides it (the day)?",,,,,-n,nominalizer,derivation: secondary,metonymy,"cf. Ojibwe diba'igiiziswaan, Nish dba'giiswaan"
COFFEE,,kekshéwabo,kekshé,"charcoal, ash, coal, ember",,,,,-abo,"liquid, beverage",derivation: secondary,metonymy: associated feature (color),
COFFEE,,kapi,,,,,,,,,borrowing,--,
COFFEE,,gapi,,,,,,,,,borrowing,--,
COLT,,manjish,,,,,,,,,--,semantic extension (appearance),"variant form: manzhis, manzhi"
compass,,--,,,,,,,,,,,
computer,,--,,,,,,,,,,,
cookie,,wishkbe-pkwézhgas,pkwézhgen,bread,,,,,-as,diminutive,compounding: V+N,metonymy: associated sensation (taste),
cookie,,pkwézhgas,pkwézhgen,bread,,,,,-as,diminutive,derivation: secondary,semantic extension,
CORIANDER,,--,,,,,,,,,,,
COW,,bzheke,,,,,,,,,--,marking reversal,
crosscut saw,"saw, cross-cut saw, chainsaw",gishkbojgen,,,,,,,,,,,
CUP,"1. small bowl, dish 2. cup",wnagas,wnagen,bowl,,,,,-as,diminutive,derivation: secondary,,sometimes just nagas
CUP,1. cup 2. dipper,gwab'egas,ngwab'an,I scoop it up,,,,,-as,diminutive,derivation: secondary,,
CUP,,mnekwajgen,mnekwé,s/he drinks it,,,,,-gen,nominalizer,derivation: secondary,metonymy: associated action,didn't get elder checked in our project but in use in community
diaper,,--,,,,,,,,,,,
DONKEY,"donkey, mule",mémakshé,*mmangshe,s/he has big ears,,,,,,,participle formation,metonymy: associated attribute (inalienable),"speaker derivation (from Welcher note so presumably MD): ""one who is slow to do something"" (cf. Nish memaangshenh)"
doughnut,,bégwnézet,nbégw'an,i dry it,,,,,,,participle formation,metonymy: associated attribute,
doughnut,little fried thing,zaskokwadés,nzaskokwadan,i fry it,,,,,,,participle formation,metonymy: associated attribute,
drill,,byémnegen,cf. nbyémonéwa,"I come after him/her to do harm, with bad intent",,,,,,,derivation: secondary,metaphor?,
elephant,,wédap'egé,cf. *wdabi,"s/he drags, pulls a load",,,,,,,participle formation,metonymy: associated action,"The derivation is unclear. Welcher notes from speaker: ""because [an elephant] grabs things"""
elevator,,--,,,,,,,,,,,
European person,,--,,,,,,,,,,,
fish with a hook,,gwdemojgé,ngwedan,I swallow it,,,,,-egé,actor focus detransitive,derivation: secondary,metonymy: associated action,
FLOUR,,bégwiwek bkwézhgen,bkwézhgen,bread,,,,,,,compounding: N+N,,
FORK,,bdekjé'gen,*bdekjé,"s/he pricks, stabs something",,,,,-gen,instrumental,derivation: secondary,,PITCHFORK: mishko-bdekjé'gen
French person,,Wémtegozhi,*wmtegon,s/he has a wooden boat,,,,,,,participle formation,metonymy: associated attribute (artifact),"Valentine 1994:922 ""no longer semantically transparent, and folk etymologies abound"""
frying pan,,zaskokwan,zaskokwé,"I fry (it, things)",,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,
GARLIC,,--,,,,,,,,,,,
German person,,Anma,,,,,,,,,borrowing,--,from French
German shepherd,,--,,,,,,,,,,,
GOAT,,motto,,,,,,,,,,,"a genuine mystery: not Ojibwe, not Modern French, not Meskwaki"
GRAPES,,zhomen,,,,,,,,,,?,this is a native plant
"grill, roasting frame",,--,,,,,,,,,,,
guitar,,nazhabyé'gen,*nazhabyé'gé,"s/he rubs, scrapes things (stringlike)",,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,
guitar,"1. violin, fiddle 2. guitar",nazhabik'egen,*nazhabik'egé,"s/he rubs, scrapes things (stringlike)",,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,JT version
gun,,baskzegen,*baskeze,it bursts by heat,,,,,-gen,instrumental,derivation: secondary,metonymy: associated action,sometimes bashk-
gun,double barrel shotgun,nizhotagen,*nizhotage < *nizho+taw+ige,two+in.relation+actor.focus,,,,,-n,nominalizer,derivation: secondary,metonymy: associated attribute,
gun,high-powered gun,kche-basksegen,,,,,,,,,compounding: preN+N,metonymy: associated attribute,
gun,machine gun,mégwétsek médwéwék,mégwétsek mdwéwé,lit. 'thing that makes a noise many times',,,,,,,compounding: preV+V,metonymy: associated action,
hammer,hand hammer,bgejgas,bgejgen,hammer,,,,,-as,diminutive,derivation: secondary,metonymy: associated attribute,action of coming down? or attribute of being the smaller one of the set?
hammer,"hammer, sledgehammer",bgejgen,,,beged-,put down,,,,,derivation: secondary,metonymy: associated action,"cf. n#begjewébna I discard, set down, drop off, throw him/her"
hardware store,,biwabkodawéwgemek,,,,,,,,,compounding: N+N,metonymy: associated attribute (artifact),
HEN,1. bird (female) 2. hen,kwésé,kwé,woman,,,,,-sé,final for birds (and other creatures),derivation: secondary,metonymy: associated attribute (inalienable),"can refer to any female bird, esp. partridges and ducks"
HORSE,,bézhgogshi,,,,,,,,,borrowing,,from Ojibwe (Potawatomi does not use this initial for 'one')
HORSE,,négdosha,,,,,,,,,borrowing,,"from Fox/Sauk, ultimately Illinois (Costa 2013:206)"
HORSE,my horse,n#deygwam,cf. ndey,my dog,,,,,,,,semantic extension (appearance?),not clear on the morphology
HORSE,"pack horse, riding horse",bémojgét,bmojgé,"s/he carries a pack, carries things on back",,,,,,,participle formation,metonymy: associated action,
HORSE,"castrated animal, gelding",géjni,cf. nde#gdenan,"I remove it, take it out (by hand)",,,,,,,participle formation,metonymy: associated attribute,
HORSE,spotted horse,gédgya,gdegya,it (inanimate) is spotted,,,,,,,participle formation,metonymy: associated feature (other - pattern?),or attribute?
HOUR,1. large measuring unit 2. hour 3. yard 4. mile,-dbe'gen,dbe'gé,"he/she measures, pays for things",,,,,-n,nominalizer,derivation: secondary,,narrowing? not necessarily; translation effects w/ English semantics imposing on Potawatomi structure
house,,wigwam,,,,,,,,,--,semantic extension (function),
house,frame house,msegakwgemek,msegak,"board, plank",,,,,-wgemek,"building, room",derivation: secondary,metonymy: associated substance,
house,house built with boards,msegak wigwam,,,,,,,,,compounding: N+N,,
house,log house,mtegwgemek,mteg,"tree, wood",,,,,-wgemek,"building, room",derivation: secondary,metonymy: associated substance,
HUNDRED,,ngodwak,,,ngod,one,,,-akw,organic solid,derivation: primary,metonymy: associated substance,from counting on sticks
ice cream,,dékyak,dkya,it is cold,,,,,,,participle formation,metonymy: associated sensation (temperature)?,
internet,,--,,,,,,,,,,,
KEY,,gdabke'gen,nde#gdapke'an,I lock it up,,,,,-gen,instrumental,derivation: secondary,metonymy: associated action,"not elder checked but Nichols/Welcher, and elders verified the stem"
laptop/ipad,,--,,,,,,,,,,,
LEMON,,--,,,,,,,,,,,
LETTUCE,,--,,,,,,,,,,,
MARE,,--,,,,,,,,,,,
MATCH,,shkodés,shkodé,fire,,,,,-s,diminutive,derivation: secondary,?,not elder checked but Nichols/Welcher
microwave oven,,--,,,,,,,,,,,
MILE,1. large measuring unit 2. hour 3. yard 4. mile,-dbe'gen,dbe'gé,"he/she measures, pays for things",,,,,-n,nominalizer,derivation: secondary,,narrowing? not necessarily; translation effects w/ English semantics imposing on Potawatomi structure
MONEY,,zhonya,,,,,,,,,,semantic extension,"from zhooniyaa 'silver', old meaning coexists"
MONEY,1. granulated sugar 2. change (money),basyak,bisya,"it is fine, granular",,,,,,,participle formation,semantic narrowing,old meaning coexists
MONEY,paper money,mégdéyak,mgedéya,"it is broad, wide",,,,,,,participle formation,metonymy: associated attribute,
monkey,,ndemakméshi,,,,,,,,,?,?,not elder checked but Nichols/Welcher; borrowed from FSK?
