Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occufs in what component(s)-B,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
38,Fisher et al.,LF2019,,chy,,chey1247,-'á,CH:1,,,,,,by foot (or body),,final,TI,,,,,,,-'ov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
2,Fisher et al.,LF2019,,chy,,chey1247,-'ahtá,CH:1,,,,,,taste,,final,TI,,,,,-'ȧsené,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
87,Fisher et al.,LF2019,,chy,,chey1247,-'asé,CH:1,,,,,,belly,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
87,Fisher et al.,LF2019,,chy,,chey1247,-asé,CH:1,,,,*-cye:-,,"belly, stomach",,medial,Dep,,,,,,,,,,,,,,,-nėhpóhaséohtsé,,,V,AI,become constipated,,LF2019,-tȧhpe'ȧsévo'enohe,,,V,AI,have a big stomach from eating,,LF2019,,,,,,,,,,,,,,,,,,,,,,,"""This seems to refer to the surface of the stomach while -ohtá refers to the inside."" GVM: stem B translation is consistent with text",,,MAM
4,Fisher et al.,LF2019,,chy,,chey1247,-'ȧsené,CH:1,,,,,,taste,,final,AI,,,,,,,,-'ahtá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
5,Fisher et al.,LF2019,,chy,,chey1247,-'eemá,CH:1,,,,,,NG,,medial,Dep,,,,,,,,,,,,,,,-néhe'eemȧséohtsé,,,V,AI,have a runny nose,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: possibly means 'nose'?,,,MAM
6,Fisher et al.,LF2019,,chy,,chey1247,-'éémá,CH:1,,,,,,"snot, mucus; runny nose",,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
7,Fisher et al.,LF2019,,chy,,chey1247,-'esé,CH:1,,,,,,"rump, buttocks, anus, ass, butt",,medial,Dep,,,,,,,,,,,,,,,-naa'ėsee'e,,,V,AI,butt numb,,LF2019,-né'eve'ėsé'ham,,,V,TA,pull up pants,,LF2019,-néme'ėšé'šé,,,V,AI,turn rump around,,LF2019,-neó'ke'ėsee'e,,,V,AI,wear pants too tight,,LF2019,,,,,,,,,,MAM
8,Fisher et al.,LF2019,,chy,,chey1247,-'esó,CH:1,,,,,,"long, length",,final,II,,,,,,,,,,,,,,,-tsėhe'esó,,,V,II,long - be,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
9,Fisher et al.,LF2019,,chy,,chey1247,-'está,CH:1,,,,,,ear,,medial,Dep,,,,,,,,,-'kestá,,,,,,-ná'tȯse'ėstávose,,,V,AI,cold ears,,LF2019,-nėhpe'está,,,V,AI,obstructed ear,,LF2019,-néše'está,,,V,AI,have two ears,,LF2019,-nėše'še'está,,,V,AI,wash ears,,LF2019,,,,,,,,,,MAM
10,Fisher et al.,LF2019,,chy,,chey1247,-'ėstahe,CH:1,,,,,,"height, length, high, long",,final,AI,,,,,,-'esó,,,,,,,,,-tó'ėstahe,,,V,AI,tall,,LF2019,-hehpe'ėstahe,,,V,AI,taller - be,,LF2019,,,,,,,,,,,,,,,,,,,,,,,GVM: ?? in stem A is consistent with text,,,MAM
11,Fisher et al.,LF2019,,chy,,chey1247,-'évá,CH:1,,,,,,wife,,medial,,,,,,,,,,-(a)'évá,,,,,,-nȧha'évaa'e,,,V,AI,sit with wife,,LF2019,-nȧha'éváohtsé,,,V,AI,walk with wife,,LF2019,-nȧha'éváóó'e,,,V,AI,stand with wife,,LF2019,-nȧhestsé'évá,,,V,AI,"prohibit wife, forbid wife",,LF2019,,,,,,,,,,MAM
12,Fisher et al.,LF2019,,chy,,chey1247,-'éxané,CH:1,,,,,,eye,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-menoo'éxané,,,,,,,,,MAM
277,Fisher et al.,LF2019,,chy,,chey1247,-'ha(me),CH:1,,,,,,"livestock, especially horses; cattle",,final,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""originally, for dog, then extended to other domesticated animals.""",,,MAM
14,Fisher et al.,LF2019,,chy,,chey1247,-'hamé,CH:1,,,,,,NG,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
15,Fisher et al.,LF2019,,chy,,chey1247,-'háononá,CH:1,,,,,,popliteal (back of knee),,medial,Dep,,,,,,,,,,,,,,,-noné'ke'háononá,,,V,AI,have streaked; dirty popliteals,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
16,Fisher et al.,LF2019,,chy,,chey1247,-'kėstané,CH:1,,,,,,vagina,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
17,Fisher et al.,LF2019,,chy,,chey1247,-'óhtá ??,CH:1,,,,,,declare s.t. to be,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM: ?? is in-text,,,MAM
18,Fisher et al.,LF2019,,chy,,chey1247,-'óhtané,CH:1,,,,,,forehead,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
19,Fisher et al.,LF2019,,chy,,chey1247,-'om ??,CH:1,,,,,,hill,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM: ?? is in-text,,,MAM
54,Fisher et al.,LF2019,,chy,,chey1247,-'ov,CH:1,,,,,,by foot (or body),,final,TA,,,,,,,,-'á,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
172,Fisher et al.,LF2019,,chy,,chey1247,-'pa'oná,CH:1,,,,,,back (of body),,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
22,Fisher et al.,LF2019,,chy,,chey1247,-'seh,CH:1,,,,,,cause s.o. to,,final,TA,,,,,,,,-'sestsé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
23,Fisher et al.,LF2019,,chy,,chey1247,-'šeme,CH:1,,,,,,make loud noise,,final,AI,,,,,,,,,,,,,,,-pėhéve'šeme,,,V,AI,"good sound, sound good, make a good sound",,LF2019,-háestȯhe'šemé,,,V,AI,"utter many sounds, have many sounds, make many sounds, sound many ways",,LF2019,-hováheve'šeme,,,V,AI,make an animal sound,,LF2019,,,,,,,,,,,,,,,,,,MAM
24,Fisher et al.,LF2019,,chy,,chey1247,-'sestsé,CH:1,,-'sehté,,,,cause s.t. to,,final,TI,,,,,,,-'seh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
111,Fisher et al.,LF2019,,chy,,chey1247,-'sevó,CH:1,,,,,,flow,,final,II,,,,,,,,,,,,,,,-hehpe'sevó,,,V,II,"flow farther, flow beyond",,LF2019,-nėševe'sevó,,,V,II,flow fast,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
26,Fisher et al.,LF2019,,chy,,chey1247,-'tá,CH:1,,,,,,NG,,final,TI,,ABSTR,,,,,-'tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
27,Fisher et al.,LF2019,,chy,,chey1247,-'tósané,CH:1,,,,,,to(ward) people??,,final,AI,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM: Translation and question marks are as in-text,,,MAM
28,Fisher et al.,LF2019,,chy,,chey1247,-'tov,CH:1,,,,*-'taw,,NG,,final,TA,,ABSTR,,,,,,-'tá,-no(t),,-'t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""The /ov/ of this final contracts to /óe/ word-medially in the inverse voice,... If the preceding vowel is phonemically high pitched, most verbs requiring the -'tov final take its allomorph -no(t).""",,,MAM
29,Fisher et al.,LF2019,,chy,,chey1247,-'xove,CH:1,,,,,,time,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
30,Fisher et al.,LF2019,,chy,,chey1247,-(a)eta,CH:1,,,,,,"size, weight",,final,AI,,,,,,-ao'ó,,,-eta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
31,Fisher et al.,LF2019,,chy,,chey1247,-(é)ve,CH:1,,,,,,be,,final,AI,,,,,,-(é)ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
32,Fisher et al.,LF2019,,chy,,chey1247,-(é)ve,CH:1,,,,*-iiwi,,be,,final,II,,,,,-(é)ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
33,Fisher et al.,LF2019,,chy,,chey1247,-(hk)óhtá,CH:1,,,,,,leg,,medial,Dep,,,,,,,,,-(šk)óhtá,,-óhtá,,,,-névėškóhtá,,,V,AI,have four legs,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
34,Fisher et al.,LF2019,,chy,,chey1247,-(o)'hamé,CH:1,,,,,,"livestock, herd, especially horses or cattle",,final,AI,,,,,,,,,,,,,,,-néšeóhtaeto'hamé,,,V,AI,hobble horses,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
98,Fisher et al.,LF2019,,chy,,chey1247,-(o)'tová,CH:1,,,,,,"smoke, fire",,medial,,,,,,,,,,-atová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""analysis is uncertain as to what is the first letter of this medial; one possibility is that the first letter will be an /o/ unless the preceding initial ends in a vowel, in which case the /o/ will not be present""",,,MAM
36,Fisher et al.,LF2019,,chy,,chey1247,-(v)ȯhkȧho'hé-,CH:1,,,,,,blended ??,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM: ?? is in-text,,,MAM
37,Fisher et al.,LF2019,,chy,,chey1247,-(v)omotah,CH:1,,,,,,"for, benefactive, substitutive TA final",,final,TA,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: guessing that it's secondary.,,,MAM
38,Fisher et al.,LF2019,,chy,,chey1247,-a',CH:1,,,,,,by foot,,final,TI,,,,,,,-a'ov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Given as -a'á in the entry for -a'ov.,,,MAM
39,Fisher et al.,LF2019,,chy,,chey1247,-a'(k)é,CH:1,,,,,,head,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body part medial,,,MAM
39,Fisher et al.,LF2019,,chy,,chey1247,-a'é,CH:1,,,,*-exkwe:,,"head, hair",,medial,Dep,,,,,,,,,,,,,,,-kóna'éše,,,V,AI,"bump head, hit head",,LF2019,-nėhpa'éeh,,,V,TA,"blindfold s.o., mask s.o.",,LF2019,-nėhpa'éehe,,,V,AI,"blindfolded, masked",,LF2019,-nėhpa'éet,,,V,TA,"blindfold s.o., mask s.o., mask up s.o.",,LF2019,,,,,,,Body part medial,,,MAM
41,Fisher et al.,LF2019,,chy,,chey1247,-á'é,CH:1,,,,,,female,,final,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
42,Fisher et al.,LF2019,,chy,,chey1247,-a'éno'hamé,CH:1,,,,,,"drive, tend horses",,final,AI,,,,,,,,,,,,,,,-anȧha'éno'hamé,,,V,AI,drive down,,LF2019,-hésta'éno'hāme,,,V,AI,drive from,,LF2019,-ho'a'éno'hamé,,,V,AI,arrive driving,,LF2019,-no'ka'éno'hamé,,,V,AI,"drive alone, that is, be the only one driving",,LF2019,,,,,,,,,,MAM
43,Fisher et al.,LF2019,,chy,,chey1247,-a'éše,CH:1,,,,,,head,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body part medial,,,MAM
44,Fisher et al.,LF2019,,chy,,chey1247,-a'há,CH:1,,,,,,by wind,,final,TI,,,,,-a'xe,,,,,,,,,,-honáta'há,,,V,II,wind subside,,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Listed as a TI final in entry for AI final -a'xe, but elsewhere as II final. This might be a typo.",,,MAM
261,Fisher et al.,LF2019,,chy,,chey1247,-a'há,CH:1,,,,,,by wind,,final,II,,,,,-a'xe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
46,Fisher et al.,LF2019,,chy,,chey1247,-a'há,CH:1,,,,,,"flap, hurried motion",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
