Project Orthography,AB:1,AB:2,AR:1,AR:2,BF:1,BF:2,C-A:1,C-A:2,C-E:1,C-I:1,C-I:2,C-I:3,C-I:Standard,C-I:Revised,C-M:1,C-N:1,C-N:2,C-NE:1,C-NE:2,C-P:1,C-P:2,C-P:3,C-P:4,C-P:5,C-P:6,C-SE:1,C-SE:2,CH:1,D-M:1,D-M:2,D-U:1,KP:1,KP:2,ME:1,ME:2,ME:3,ME:4,MK:F-S,MK:1,MN:1,MN:2,MN:3,MN:4,MN:5,MN:6,MN:WNALP,MY:Standard,MY:1,NR:1,OJ:1,OJ:2,OJ:3,OJ:4,OJ:5,OJ:6,OJ:7,OJ:8,OJ:9,OJ:10,OJ:11,P-M:1,P-M:2,P-M:3,PA:1,PA:2,PA:3,PA:4,PA:5,PA:6,PA:7,PCA:1,PCA:2,PEA:1,POT:WNALP,POT:1,POT:2,POT:3,POT:4,POT:5,SH:1,SH:2,WM:1,UNK [unknown]
i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,"i, ɩ",i,i,i,i,i,i,i,i,i,i,i,i,,i,,i,i,i,i,i,i,i,i,i,i,i,,i,i,i,i,i,i,,"i, e",i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,"i, ι",i,,,,,,,,i,i,,
ii,,,ii,ii,ii,ii,i:,ii,ii,î,i·,i·,,,î,ii,î,î,ii,î,ī,ī,i·,i·,ī,î,ii,,i·,ī,i·,ii,i·,ī,i·,ī,i*,i',i',i·,i·,ī,ī,ī,ī,ī,ii,ii,,i·,,ii,ii,ī,i:,,ī,ī,ī,ii,,,,ii,i·,i:,i:,i·,i·,ī,"ē, ī",i·,ī,i,i,i,i,i,i,ii,i·,,
iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,e,,e,e,,,,,,,,,e,e,,,,,,,,,,,,,,e,e,,e,e,e,,e·,e,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,,,,,,,,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,,e,,e,,
ee,,,ee,ee,,,e,e,,ê,e·,e·,,,ê,,,,,ê,ē,ē,e·,e·,ē,e,e,,e·,ē,e·,ee,e·,,e·,"ē, ä",e*,e',e',e·,e·,,ē,ē,ē,ē,ee,ee,,e·,e:,e,e,ē,e:,,,e,e,e,,,,ee,e·,e:,e:,,e·,ē,ä,e·,ē,é,é,e,ɛ,ɛ,,e,e·,,
eee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
é,,,,,,,,,,,,,,,,,,,,,,,,,,,,é,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ė,,,,,,,,,,,,,,,,,,,,,,,,,,,,ė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee,,,
ɛɛ,,,,,ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,,,,,,ɛ,ɛ,,ä,ɛ,ä,ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ææ,,,,,,,,,,,,,,,,,,,,,ä,,,,,,,,,,,,,ä,,,,,,ɛ·,ɛ·,,ä,ε̄,ä,a͞e,,,,,,,,,,,ä,,,,,,,,,,,,,,,,,,,,,,,,,,
ɨ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ə,ə,,,,,,,,,,,,,,,,,,,,,,,,,,,,ə,ə,ə,,,,,,,ɨ,,,,,,,,,,,ə,,,,,,,,,,,,ə,o,ə,,,,,,,,,,ə,e,e,ə,ə,ə,u,,,ə,
ᵘ,,,,,,,,,,,,,ᵘ,ᵘ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,,,u,u,,,,,u,u,u,u,u,u,,u,u,u,u,,,,,,,u,u,,,,u,,,u,,,,u,u,u,u,,u,u,u,u,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,u,
uu,,,uu,uu,,,,,uu,û,u·,u·,,,,uu,û,û,,,,,,,,û,uu,,,,,,,ō,,,,u',u',u·,u·,,ū,ū,ū,ū,,,,,,,,,,,u,u,u,,,,,,,,,,,,,,,,,,,,,,,,
o,o,o,o,o,o,o,o,o,,,,,,,o,,,,,o,o,o,o,o,o,,,o,,,o,o,,,o,"o, u",o,o,o,o,o,,o,o,o,o,o,o,,"o, u",o,o,o,o,o,,,o,o,o,o,,o,o,o,o,o,o,o,o,u,o,,w,,w,"w, O","w, O","w, O",oo,o,o,
