ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done
1,Siebert & Seeber,FS_PS1983,"0337, 0340",aaq,Penobscot,peno1243,-ahsi,AB:1,,,,,,"of purposeful action, middle reflexive","purposeful, MIDDLE, REFLEXIVE",final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: On p. 340 he writes as -ahso; I think this is an error.,,MAM
2,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-ahso,AB:1,,,,,,"to dryness, middle reflexive","dryness, MIDDLE, REFLEXIVE",final,AI,,,,,,-ahte,,,,,,,,,,,,,,,,,,,,,,,MAM
3,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-ahso,AB:1,,-αhso,,,,"emit light, middle reflexive","emit (light), MIDDLE, REFLEXIVE",final,AI,,,,,,-ahte,,,,,,,,,,,,,,,,,,,,,,,MAM
4,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-ahte,AB:1,,,,,,"to dryness, middle reflexive","dryness, MIDDLE, REFLEXIVE",final,II,,,,,-ahso,,,,,,,,,,,,,,,,,,,,,,,,MAM
5,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-ahte,AB:1,,-αhte,,,,"emit light, middle reflexive","emit (light), MIDDLE, REFLEXIVE",final,II,,,,,-ahso,,,,,,,,,,,,,,,,,,,,,,,,MAM
6,Siebert & Seeber,FS_PS1983,0334,aaq,Penobscot,peno1243,-ahw-,AB:1,,,,,,by tool or medium,"medium, tool, INSTRUMENT, MANNER",final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
7,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-api-,AB:1,,,,,,tie,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
8,Siebert & Seeber,FS_PS1983,0337,aaq,Penobscot,peno1243,-at,AB:1,,,,,,"state, shape, condition, or essence, middle reflexive","condition, essence, shape, state, MIDDLE, REFLEXIVE",final,II,,,,,-əsi,,,,,,,,,,,,,,,,,,,,,,,,MAM
9,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,-elə-,AB:1,,,,,,mental process,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
10,Siebert & Seeber,FS_PS1983,"0336, 0337, 0341",aaq,Penobscot,peno1243,-əkʷ-,AB:1,,,,,,subject to the act,,postmedial ,,,,,,,,,,,,,,,,,,,,-αməkwiha-,,,,,,,,,,MAM
