Component ID,Author Surname,Source Code,Page # ,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Base Category (if secondary)-C,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
150,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-astimw-,,,,dog,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,/atimw-/,,,MAM
241,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-h,,,,causative,,final,TA,,ABSTR,,,,,,,,,,,,,,,cîsih-,,,V,TA,mislead s.o.,,AA_ET_AL2019;0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
323,Arppe et al.,AA_ET_AL2019,0006,crk,,plai1258,-is,C-P:1,,,,,,diminutive,,final,,,,,,,,,,,,-isis,,-si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
514,Arppe et al.,AA_ET_AL2019,0012,crk,,plai1258,-st,C-P:1,,,,,,NG,,final,TI,,,,,,,,,,,,,,,,,apîst-,,,V,AI,sit near something,,AA_ET_AL2019;0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
607,Arppe et al.,AA_ET_AL2019,0012,crk,,plai1258,api-,C-P:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,apîst-,,,V,AI,sit near something,,AA_ET_AL2019;0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
638,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,atimw-,,,,dog,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
952,Arppe et al.,AA_ET_AL2019,0003,crk,,plai1258,,C-P:1,,wâp-,,,,"light, bright",,initial,,,,,,,,,,,,,,,,,,wâpi-,,,V,AI,"see, have vision",,AA_ET_AL2019;0003,wâpahta-,,,V,TI,see s.t.,,AA_ET_AL2019;0003,wâpam-,,,V,TA,see s.o.,,AA_ET_AL2019;0003,,,,,,,,,,,,,,,,,,,MAM
968,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-(i)kê,,,,general object,,final,AI,,ABSTR,Y,,,,,,,,,,,,,,nôcihcikê-,,,V,AI,hunt things,,AA_ET_AL2019;0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
969,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-(i)n,,,,by hand,,final,TA,,CONCR,,,,,,,,,,,,,,,itin-,,,V,TA,move s.o. thus by hand,,AA_ET_AL2019;0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
970,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-(i)sw,,,,by heat,,final,TA,,CONCR,,,,,,,,,,,,,,,kîsisw-,,,V,TA,cook s.o.,,AA_ET_AL2019;0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
971,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-ah-,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
972,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-âhpih-,,,,laugh at s.o.,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,/pâhpih-/,,,MAM
973,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-âhtikw,,,,tree,,final,N,,CONCR,,,,,,,,,,,,,,,ayôskanâhtikw-,,,N,,raspberry bush,,AA_ET_AL2019;0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
974,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-âpêk-,,,,rope,,medial,CLASS,,,,,,,,,,,,,,,,,itâpêkin-,,,V,TA,hold s.o. thus on a rope,,AA_ET_AL2019;0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
975,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-âpisk(w)-,,,,"stone, metal",,medial,CLASS,,,,,,,,,,,,,,,,,pîwâpiskw-,,,N,,piece of metal,,AA_ET_AL2019;0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
976,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-âpoy,,,,liquid,,final,N,,CONCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
