Components ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Bloomfield,LB1925b,0150,mez,,meno1252,-'kw-,MN:4,,,,,,eye,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Goddard,IG1965,0213,mez,,meno1252,-a·mɛhk-,MN:2,,,,*a·meHk-,,"earth, soil",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
3,Goddard,IG1965,0213,mez,,meno1252,-a·mɛhkw-,MN:2,,,,*a·meHkw-,,"earth, soil",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
4,Goddard,IG1967b,0074,mez,,meno1252,-a·n,MN:1,,,,,,NG,,final,N,,,,,,,,,,,wa·nɛhka·n-,,,N,,pit,,IG1967b;0074,,,,,,"""AI verbs with final -ɛ·- form nouns in -a·n"" (with replacement of ɛ· by a·).",,,
5,Goddard,IG1965,0219,mez,,meno1252,-a·n-ak,MN:2,,,,*wa·θ-,,hole,,medial,,,,,,,,,,,,,,,,,,,,,,,Y,,"""medial with deverbal root""",,MAM,
6,Goddard,IG1980,0144,mez,,meno1252,-ahkonɛ·-,MN:1,,,,*-eθe·-,,blaze,,final,II,,,,,,,,,,,,,,,,,,,,,,,,"Not explicit that it's an II final, but the PA source is.",,MAM,
7,Bloomfield,LB1927b,0401,mez,,meno1252,-ak-,MN:4,,,,,,NG,,postmedial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Goddard,IG1965,0212,mez,,meno1252,-amami,MN:2,,,,,,suffer pain,,final,AI1,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
9,Bloomfield,LB1924,0343,mez,,meno1252,-äniht,MN:6,,,,,,think of inanimate thing,,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bloomfield,LB1927b,0398,mez,,meno1252,-ātaʔnōhkä-,MN:4,,,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bloomfield,LB1927b,0398,mez,,meno1252,-aʔnōhkä-,MN:4,,,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Goddard,IG1965,0214,mez,,meno1252,-čya·N-,MN:2,,,,*-čya·θ-,,nose,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
13,Bloomfield,LB1924,0341,mez,,meno1252,-ehk-,MN:6,,,,,,by foot or body-movement,,final,,,,,,,,,,-eck-,,,,,,,,,,,,,,,does not say what type of final (from other sources: TI),,,
14,Bloomfield,LB1925a,0225,mez,,meno1252,-etsī-,MN:3,,,,,,"belly, body",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
15,Goddard,IG1980,0144,mez,,meno1252,-ɛnɛ·-,MN:1,,,,*-eθe·-,,blaze ,,final,II,,,,,,,,,,,,,,,,,,,,,,,,"Not explicit that it's an II final, but the PA source is.",,MAM,
16,Goddard,IG1965,0218,mez,,meno1252,-htawak-,MN:2,,,,*-htawak(ay)i,,ear,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
17,Goddard,IG1965,0215,mez,,meno1252,-ka·powe-,MN:2,,,,*-ka·pawi-,,stand,,final,AI,,,,,,-ka·powe-,,,,,,,,,,,,,,,,,,,,MAM,
18,Goddard,IG1965,0215,mez,,meno1252,-ka·powe-,MN:2,,,,*-ka·pawi-,,stand,,final,II,,,,,-ka·powe-,,,,,,,,,,,,,,,,,,,,,MAM,
19,Goddard,IG1965,0218,mez,,meno1252,-men,MN:2,,,,*-min-,,berry,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
20,Goddard,IG1967b,0074,mez,,meno1252,-n,MN:1,,,,,,NG,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bloomfield,LB1925b,0151,mez,,meno1252,-nehtsī-,MN:4,,,,,,hand,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bloomfield,LB1927b,0401,mez,,meno1252,-neniw-,MN:4,,,,,,man,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Haas,MH1967a,0063,mez,,meno1252,-oʔnw-,MN:2,,,,,,NG,,final,,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bloomfield,LB1925a,0224,mez,,meno1252,-pw-,MN:3,,,,,,"bite, eat",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
25,Hockett,CH1981,"0079,0080,0081,0083",mez,,meno1252,-wɛ̄p-,MN:5,,,,,,"throw, fling",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bloomfield,LB1927b,0399,mez,,meno1252,*-ākamy-,MN:4,,,,,,"water, liquid",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Goddard,IG1965,0214,mez,,meno1252,a·čemi-,MN:2,,,,*a·t-,,narrate,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
28,Denny,JPD1977,0133,mez,,meno1252,ahkamek,MN:1,,,,,,stretch of,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Denny,JPD1978a,0305,mez,,meno1252,ahkamek,MN:5,,,,*-axkamik-,,stretch of,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Rhodes,RR1980,0196,mez,,meno1252,ahpeN,MN:WNALP,,,,,,tie,,final,TA,,,,,,,,ahpetō,,,,,,,,,,,,,,,,from Bloomfield 1962,,,
31,Rhodes,RR1980,0196,mez,,meno1252,ahpetō,MN:WNALP,,,,,,tie,,final,TI,,,,,,,ahpeN,,,,,,,,,,,,,,,,,from Bloomfield 1962,,,
32,Goddard,IG1965,0211,mez,,meno1252,ana·m-,MN:2,,,,*-aθa·m-,,underneath,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
33,Denny,JPD1978a,0312,mez,,meno1252,āpɛhtaw,MN:5,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,VMN: likely 'halfway' or related,,,
34,Denny,JPD1978a,0312,mez,,meno1252,ehn,MN:5,,,,*-hθ-,,become,,final,unknown,,CONCR,,,,,,,,,,,,,,,,,,,,,,,,,
35,Denny,JPD1978a,0312,mez,,meno1252,ɛ,MN:5,,,,*-ē-,,process ,,final,unknown,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,
36,Denny,JPD1978a,0312,mez,,meno1252,ɛn,MN:5,,,,*-en-,,event,,final,unknown,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,
37,Haas,MH1967a,0060,mez,,meno1252,ke·soʔnw-,MN:2,,,,,,"sun, moon, month",,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Hockett,CH1981,0070,mez,,meno1252,kēhkēsk-,MN:5,,,,,,chop,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hockett,CH1981,0070,mez,,meno1252,kēskēsk-,MN:5,,,,,,chop,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bloomfield,LB1925a,0227,mez,,meno1252,me'n-,MN:3,,,,,,big,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM,
41,Goddard,IG1965,0218,mez,,meno1252,nana·w-,MN:2,,,,*θaˀθa·w-,,between,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,"""reduplication partially regularized to nana·w-""",,MAM,
42,Goddard,IG1965,0218,mez,,meno1252,naw-,MN:2,,,,*θa·w-,,middle,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"""reduplication partially regularized to nana·w-""",,MAM,
43,Bloomfield,LB1927b,0398,mez,,meno1252,neʔswanāt-,MN:4,,,,,,mess,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Goddard,IG1965,0216,mez,,meno1252,nɛka·n-,MN:2,,,,*ni·ka·ni,,"ahead, leading",,initial,,,,,,,,,,,,,,,,,,,,,,,,,"IG has ""(?)"" after Menominee form; cites grammar 14.34",,MAM,
45,Bloomfield,LB1925b,0136,mez,,meno1252,nīmı,MN:4,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,VMN: likely 'dance',,,
46,Rhodes,RR1980,0196,mez,,meno1252,peN,MN:WNALP,,,,,,tie,,final,TA,,,,,,,,petō,,,,,,,,,,,,,,,,from Bloomfield 1962,,,
47,Rhodes,RR1980,0196,mez,,meno1252,petō,MN:WNALP,,,,,,tie,,final,TI,,,,,,,peN,,,,,,,,,,,,,,,,,from Bloomfield 1962,,,
48,Hockett,CH1981,0070,mez,,meno1252,pōhpōhkw-,MN:5,,,,,,break,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Hockett,CH1981,0070,mez,,meno1252,pōˀpōhkw-,MN:5,,,,,,break,,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
