ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Costa,DJC2019,0007,mia,,miam1252,-aaciipihkii,MY:Standard,,,,,,root,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Costa,DJC2019,0008,mia,,miam1252,-aacimwi,MY:Standard,,,,,,story,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Costa,DJC2019,0009,mia,,miam1254,-aahkal,MY:Standard,,,,,,throw,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Costa,DJC2019,0009,mia,,miam1253,-aahkaw,MY:Standard,,,,,,throw,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Costa,DJC2019,0009,mia,,miam1252,-aahkii,MY:Standard,,,,,,throw,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Costa,DJC2019,0009,mia,,miam1252,-aahkosi,MY:Standard,,,,,,wood,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Costa,DJC2019,0009,mia,,miam1252,-aahkw,MY:Standard,,,,,,wood,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Costa,DJC2019,0009,mia,,miam1252,-aahkw-,MY:Standard,,,,,,wood,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Costa,DJC2019,0009,mia,,miam1252,-aahkwat,MY:Standard,,,,,,wood,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Costa,DJC2019,0009,mia,,miam1252,-aahkwee,MY:Standard,,,,,,wood,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Costa,DJC2019,0009,mia,,miam1252,-aahši,MY:Standard,,,,,,wind,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Costa,DJC2019,0007,mia,,miam1252,-aahšii,MY:Standard,,,,,,shine,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Costa,DJC2019,0007,mia,,miam1253,-aahšii-,MY:Standard,,,,,,shine,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Costa,DJC2019,0009,mia,,miam1252,-aahsin,MY:Standard,,,,,,wind,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Costa,DJC2019,0001,mia,,miam1252,-aakamom,MY:Standard,,,,,,bathe,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Costa,DJC2019,0001,mia,,miam1252,-aakamwi,MY:Standard,,,,,,bathe,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Costa,DJC2019,0003,mia,,miam1252,-aalaantee,MY:Standard,,,,,,color,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Costa,DJC2019,0003,mia,,miam1252,-aalahkwat,MY:Standard,,,,,,cloud,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Costa,DJC2019,0005,mia,,miam1252,-aalak-,MY:Standard,,,,,,hole,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Costa,DJC2019,0005,mia,,miam1252,-aalakat,MY:Standard,,,,,,hole,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Costa,DJC2019,0003,mia,,miam1252,-aalakiinkwee,MY:Standard,,,,,,eye,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Costa,DJC2019,0003,mia,,miam1252,-aalakiinkwee-,MY:Standard,,,,,,eye,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Costa,DJC2019,0001,mia,,miam1252,-aalakitee,MY:Standard,,,,,,anus,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Costa,DJC2019,0008,mia,,miam1252,-aalawee,MY:Standard,,,,,,tail (animal's),,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Costa,DJC2019,0008,mia,,miam1252,-aalawee-,MY:Standard,,,,,,tail (animal's),,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Costa,DJC2019,0008,mia,,miam1252,-aalawi,MY:Standard,,,,,,tail (animal's),,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Costa,DJC2019,0004,mia,,miam1252,-aalee,MY:Standard,,,,,,"fire, burn",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Costa,DJC2019,0004,mia,,miam1252,-aalee,MY:Standard,,,,,,"fire, burn",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Costa,DJC2019,0004,mia,,miam1252,-aalintam,MY:Standard,,,,,,"fire, burn",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Costa,DJC2019,0003,mia,,miam1252,-aamihki,MY:Standard,,,,,,"earth, soil",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Costa,DJC2019,0003,mia,,miam1252,-aamihki-,MY:Standard,,,,,,"earth, soil",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Costa,DJC2019,0002,mia,,miam1252,-aampihkan,MY:Standard,,,,,,"chin, jaw",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Costa,DJC2019,0002,mia,,miam1252,-aampikan-,MY:Standard,,,,,,"chin, jaw",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Costa,DJC2019,0002,mia,,miam1252,-aampikanee-,MY:Standard,,,,,,"chin, jaw",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Costa,DJC2019,0005,mia,,miam1252,-aanihs,MY:Standard,,,,,,knife,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Costa,DJC2019,0004,mia,,miam1252,-aankan,MY:Standard,,,,,,feather,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Costa,DJC2019,0004,mia,,miam1252,-aankan-,MY:Standard,,,,,,feather,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Costa,DJC2019,0004,mia,,miam1252,-aankani,MY:Standard,,,,,,feather,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Costa,DJC2019,0004,mia,,miam1252,-aankati,MY:Standard,,,,,,feather,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Costa,DJC2019,0004,mia,,miam1252,-aankwee,MY:Standard,,,,,,"face, corn",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Costa,DJC2019,0002,mia,,miam1252,-aantawee,MY:Standard,,,,,,climb,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Costa,DJC2019,0002,mia,,miam1252,-aantawee-,MY:Standard,,,,,,climb,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Costa,DJC2019,0007,mia,,miam1252,-aap,MY:Standard,,,,,,"rope, string(like)",,final,N,,,,,,,,,,,,,,,,,,,,,,,,rare,,,
44,Costa,DJC2019,0002,mia,,miam1252,-aapahal,MY:Standard,,,,,,"born, birth",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Costa,DJC2019,0002,mia,,miam1252,-aapahee,MY:Standard,,,,,,"born, birth",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Costa,DJC2019,0006,mia,,miam1252,-aapam,MY:Standard,,,,,,look (at),,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Costa,DJC2019,0006,mia,,miam1252,-aapantam,MY:Standard,,,,,,look (at),,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Costa,DJC2019,0006,mia,,miam1252,-aapanti,MY:Standard,,,,,,look (at),,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Costa,DJC2019,0003,mia,,miam1252,-aapawaa,MY:Standard,,,,,,dream,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Costa,DJC2019,0003,mia,,miam1252,-aapawal,MY:Standard,,,,,,dream,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Costa,DJC2019,0003,mia,,miam1252,-aapawee,MY:Standard,,,,,,dream,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Costa,DJC2019,0006,mia,,miam1252,-aapi,MY:Standard,,,,,,look (at),,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Costa,DJC2019,0007,mia,,miam1252,-aapii-,MY:Standard,,,,,,"rope, string(like)",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Costa,DJC2019,0007,mia,,miam1252,-aapiik-,MY:Standard,,,,,,"rope, string(like)",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Costa,DJC2019,0007,mia,,miam1252,-aapiikaa,MY:Standard,,,,,,"rope, string(like)",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Costa,DJC2019,0007,mia,,miam1252,-aapiikal,MY:Standard,,,,,,"rope, string(like)",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Costa,DJC2019,0007,mia,,miam1252,-aapiikas,MY:Standard,,,,,,"rope, string(like)",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Costa,DJC2019,0007,mia,,miam1252,-aapiikat,MY:Standard,,,,,,"rope, string(like)",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Costa,DJC2019,0007,mia,,miam1252,-aapiikatoo,MY:Standard,,,,,,"rope, string(like)",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Costa,DJC2019,0007,mia,,miam1252,-aapiikis,MY:Standard,,,,,,"rope, string(like)",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Costa,DJC2019,0007,mia,,miam1252,-aapiikw,MY:Standard,,,,,,"rope, string(like)",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Costa,DJC2019,0002,mia,,miam1252,-aapinti,MY:Standard,,,,,,bowstring,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Costa,DJC2019,0002,mia,,miam1252,-aapinti,MY:Standard,,,,,,bowstring,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Costa,DJC2019,0009,mia,,miam1252,-aapitee,MY:Standard,,,,,,tooth,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Costa,DJC2019,0009,mia,,miam1253,-aapitee,MY:Standard,,,,,,tooth,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Costa,DJC2019,0006,mia,,miam1252,-aapoo-,MY:Standard,,,,,,liquid,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Costa,DJC2019,0006,mia,,miam1252,-aapow,MY:Standard,,,,,,liquid,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Costa,DJC2019,0006,mia,,miam1252,-aapowee,MY:Standard,,,,,,liquid,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Costa,DJC2019,0006,mia,,miam1252,-aapowee,MY:Standard,,,,,,liquid,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Costa,DJC2019,0006,mia,,miam1252,-aapowi,MY:Standard,,,,,,liquid,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Costa,DJC2019,0005,mia,,miam1252,-aatawee,MY:Standard,,,,,,language,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Costa,DJC2019,0005,mia,,miam1252,-aataweem,MY:Standard,,,,,,language,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Costa,DJC2019,0003,mia,,miam1252,-aci,MY:Standard,,,,,,"cold, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Costa,DJC2013,0200,mia,,miam1252,-ači,MY:1,,,,,,cold,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,HTL,
75,Costa,DJC2019,0007,mia,,miam1252,-aciipihk,MY:Standard,,,,,,root,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Costa,DJC2019,0005,mia,,miam1252,-aciw,MY:Standard,,,,,,hill,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Costa,DJC2019,0005,mia,,miam1252,-ah(w),MY:Standard,,,,,,"instrument, by",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Costa,DJC2019,0005,mia,,miam1252,-aham,MY:Standard,,,,,,"instrument, by",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Costa,DJC2019,0004,mia,,miam1252,-ahan,MY:Standard,,,,,,"float, be on water",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Costa,DJC2019,0005,mia,,miam1252,-ahiko,MY:Standard,,,,,,"instrument, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Costa,DJC2019,0005,mia,,miam1252,-ahk,MY:Standard,,,,,,"land, field",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Costa,DJC2019,0005,mia,,miam1252,-ahki,MY:Standard,,,,,,"land, field",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Costa,DJC2019,0005,mia,,miam1252,-ahki-,MY:Standard,,,,,,"land, field",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Costa,DJC2019,0005,mia,,miam1252,-ahkihkw,MY:Standard,,,,,,kettle,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Costa,DJC2019,0007,mia,,miam1252,-ahkisin,MY:Standard,,,,,,shoe,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Costa,DJC2019,0007,mia,,miam1252,-ahkisin,MY:Standard,,,,,,shoe,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Costa,DJC2019,0002,mia,,miam1252,-ahkolay,MY:Standard,,,,,,"clothing, robe",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Costa,DJC2019,0007,mia,,miam1252,-ahkompee,MY:Standard,,,,,,penis,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Costa,DJC2019,0004,mia,,miam1252,-ahoko,MY:Standard,,,,,,"float, be on water",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Costa,DJC2019,0004,mia,,miam1252,-ahol,MY:Standard,,,,,,"float, be on water",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Costa,DJC2019,0009,mia,,miam1252,-ahol,MY:Standard,,,,,,tie,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Costa,DJC2019,0009,mia,,miam1252,-ahosi,MY:Standard,,,,,,tie,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Costa,DJC2019,0009,mia,,miam1252,-ahotee,MY:Standard,,,,,,tie,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Costa,DJC2019,0009,mia,,miam1252,-ahotoo,MY:Standard,,,,,,tie,,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Costa,DJC2019,0007,mia,,miam1252,-ahs,MY:Standard,,,,,,"put, place",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Costa,DJC2019,0003,mia,,miam1252,-ahsap,MY:Standard,,,,,,"cord, garter, net",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Costa,DJC2019,0003,mia,,miam1252,-ahsapii,MY:Standard,,,,,,"cord, garter, net",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Costa,DJC2019,0008,mia,,miam1252,-ahsen,MY:Standard,,,,,,stone,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Costa,DJC2019,0008,mia,,miam1252,-ahsen,MY:Standard,,,,,,stone,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Costa,DJC2019,0006,mia,,miam1252,-ahši,MY:Standard,,,,,,"load, carry",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Costa,DJC2019,0006,mia,,miam1252,-ahših,MY:Standard,,,,,,"load, carry",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Costa,DJC2019,0006,mia,,miam1252,-ahšihtoo,MY:Standard,,,,,,"load, carry",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Costa,DJC2019,0001,mia,,miam1252,-ahsimw,MY:Standard,,,,,,animal,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Costa,DJC2019,0007,mia,,miam1252,-ahtee,MY:Standard,,,,,,shoot,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Costa,DJC2019,0008,mia,,miam1252,-ahtee,MY:Standard,,,,,,spots,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Costa,DJC2019,0007,mia,,miam1252,-ahtoo,MY:Standard,,,,,,"put, place",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
