ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Valentine,RV2002,0092,alq,,algo1255,-(aan)aabik-,OJ:3,,,,,,rock,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Valentine,RV2002,0092,alq,,algo1255,-aagone-,OJ:3,,,,,,snow,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Valentine,RV2002,0114,alq,,algo1255,-aakigan-,OJ:3,,,,,,back,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McGregor 1987,,,
4,Valentine,RV2002,0092,alq,,algo1255,-aawag-,OJ:3,,,,,,sand,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Grafstein,AXG1980,0085,alq,,algo1255,-aw,OJ:10,,,,,,NG,,final,TA,,,,,,,,,,,mikaw-,,,V,TA,find someone,,,nōdaw-,,,V,TA,hear someone,,,,,,,,,,,
6,Valentine,RV2002,0114,alq,,algo1255,-dooskwan-,OJ:3,,,,,,elbow,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nichols and Nyholm (1995,,,
7,Grafstein,AXG1980,0093,alq,,algo1255,-igan,OJ:10,,,,,,NG,,final,N,,,Y,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Grafstein,AXG1980,"0085,0091",alq,,algo1255,-iganiwi,OJ:10,,,,,,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Grafstein,AXG1980,"0084,0085,0089,0091",alq,,algo1255,-igē,OJ:10,,,,,,"unspecified objects, unspecified persons",,final,AI,,,Y,TA,,,,,-gē,-m_,nōdāgē-,,,V,AI,hear unspecified persons,,,dakongē-,,,V,AI,bite people,,,,,,,,GVM: Allomorph information from p.92; cites Piggott personal communication,,,
10,Grafstein,AXG1980,0084,alq,,algo1255,-iwē,OJ:10,,,,,,unspecified persons,,final,AI,,,Y,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Grafstein,AXG1980,0093,alq,,algo1255,-iwi,OJ:10,,,,,,NG,,final,AI,,,Y,N,,,,,,,maškikīwininīwi-,,,V,AI,he is a doctor/he is becoming a doctor,,,,,,,,,,,,,,,,,,,
12,Grafstein,AXG1980,"0087,0088,0089,0090",alq,,algo1255,-nāniwan,OJ:10,,,,,,NG,,final,II,,,Y,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wolfart & Shrofel,HCW_SMS1977,0165,alq,,algo1255,-ns,OJ:2,,,,,,NG,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""in lieu of nʔ""; cites Todd 1970",,,
14,Wolfart & Shrofel,HCW_SMS1977,0165,alq,,algo1255,-nš,OJ:2,,,,,,NG,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""in lieu of ny""; cites Todd 1970",,,
15,Grafstein,AXG1980,"0085,0091",alq,,algo1255,-ō,OJ:10,,,,,,NG,,final,AI,,,,,,,,,,,bīdō-,,,V,TI,bring something,,,,,,,,,,,,,,,,,,,
16,Valentine,RV2002,0101,alq,,algo1255,bayek-,OJ:3,,,,,,clean,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pikogan, Quebec community",,,
17,Grafstein,AXG1980,0085,alq,,algo1255,bīd,OJ:10,,,,,,bring,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Valentine,RV2002,0103,alq,,algo1255,boodaakwe-,OJ:3,,,,,,in water,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maniwaki,,,
19,Valentine,RV2002,0092,alq,,algo1255,zhegw-,OJ:3,,,,,,under,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
