ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Allomorph-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Formative/component occurs in what component(s)-C,Formative/component occurs in what component(s)-D,Contains component (enter)-A,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Haas,HM1967a,0063,alg,,algo1256,-*eʔθw-,PA:6,,,,,,NG,,final,,,ABSTR,,,,,,,,,,,,*ki·šekw-,,,N,,"day, sky",,HM1967a;0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM: These four are listed as possible components within the stem
2,Siebert,FS1941,0301,alg,,algo1256,-axkamekwe,PA:6,,,,,,ground,,final
3,Goddard,IG1979a,0108,alg,,algo1256,-kašy-,PA:6,,,,,,"(finger) nail, claw, hoof","claw, fingernail, hoof, nail (finger)",medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suggested by Hamp 1976,,MAM
4,Aubin,GA1975a,0184,alg,,algo1256,-no·n-,PA:2,,,,,,suckle,suckle,initial
5,Goddard,IG1979a,0108,alg,,algo1256,*-(a·-)ntep-,PA:6,,,,,,head,head,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
6,Aubin,GA1975b,0024,alg,,algo1256,*-(e)n-,PA:4,,,,,,NG,,final,N,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go67b.87
10,Aubin,GA1975b,0004,alg,,algo1256,*-a: pane,PA:4,,,,,,dawn,dawn,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,B146.111,,MAM
11,Aubin,GA1975b,0006,alg,,algo1256,*-a:-w,PA:4,,,,,,undergoer,PATIENT,final,N,,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suffix added to TA verb stems to form nouns of undergoer'. MAM: not sure why written with two dashes. B146.106,,MAM
12,Aubin,GA1975b,0001,alg,,algo1256,*-a:hkwahki,PA:4,,,,,,NG,,final,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go65.212,,MAM
13,Aubin,GA1975b,0002,alg,,algo1256,*-a:htekw,PA:4,,,,,,"stick, wood, tree","stick, tree, wood",final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bl46.106,,MAM
14,Aubin,GA1975b,0002,alg,,algo1256,*-a:kan,PA:4,,,,,,undergoer,PATIENT,final,N,,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bl46.106; 'extended noun final added to TA stems to form undergoers',,MAM
16,Aubin,GA1975b,0003,alg,,algo1256,*-a:m,PA:4,,,,,,by speech,"speech, MANNER",medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ho57.261; ""by-form of medial""",,MAM
17,Aubin,GA1975b,0003,alg,,algo1256,*-a:meHk-,PA:4,,,,,,"earth, soil","earth, soil",medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go65.213,,MAM
18,Aubin,GA1975b,0003,alg,,algo1256,*-a:meHkw-,PA:4,,,,,,"earth, soil","earth, soil",final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go65.213,,MAM
19,Aubin,GA1975b,0004,alg,,algo1256,*-a:nkw-,PA:4,,,,,,sibling-in-law of same sex,sibling-in-law (same sex),medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go65.213,,MAM
30,Aubin,GA1975b,0005,alg,,algo1256,*-a:pye:,PA:4,,,,,,"water, liquid",,final,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ho57.256,,MAM
32,Aubin,GA1975b,0006,alg,,algo1256,*-a:towe,PA:4,,,,,,speak a language,speak (language),final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go65.214,,MAM
34,Goddard,IG1990a,0466,alg,,algo1256,*-a·-,PA:6,,,,,,NG,,premedial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*-a·ntep-,,,,,,,,,,,MAM
35,Goddard,IG1971,0144,alg,,algo1256,*-a·ht-,PA:6,,,,,,NG,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: These seem to be listed as components, but it's possible they're just groups of possible phonemes to discuss reflexes..."
65,Bloomfield,LB1946,0106,alg,,algo1256,*-aahtekw,PA:1,,,,,,"stick, wood, tree","stick, tree, wood",final,N,,CONCR,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
37,Goddard,IG1990a,0463,alg,,algo1256,*-a·k-,PA:6,,,,,,NG,,postradical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*ketema·k-,,,,,,,,,,,MAM
38,Costa,DJC2001,0273,alg,,algo1256,*-a·kan-,PA:6,,,,,,instrumental,INSTRUMENT,final,N
39,Cowan,WC1969,0030,alg,,algo1256,*-a·kw-,PA:6,,,,,,bushy-tailed animal
40,Goddard,IG1965,0213,alg,,algo1256,*-a·nkw-,PA:6,,,,,,sibling-in-law of same sex,,medial,AnimDep
42,Goddard,IG1965,0219,alg,,algo1256,*-a·p-,PA:6,,,,,,NG,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*wa·p-
43,Goddard,IG1965,0215,alg,,algo1256,*-a·pe·-,PA:6,,,,,,male,"male, man",medial
51,Goddard,IG1990a,0468,alg,,algo1256,*-a·py-,PA:6,,,,,,string,string,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*-∅-,,,,,contains N final,,MAM
52,Goddard,IG1990a,0468,alg,,algo1256,*-a·pye·kw-,PA:6,,,,,,string,string,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*-w-,,,,,contains N final,,MAM
53,Goddard,IG1965,0208,alg,,algo1256,*-a·t,PA:6,,,,,,NG,,final,TRANS
55,Goddard,IG1965,0214,alg,,algo1256,*-a·towe·,PA:6,,,,,,speak a language,speak (language),final,AI
59,Goddard,IG1965,0208,alg,,algo1256,*-a·θ,PA:6,,,,,,NG,,final,TRANS
60,Goddard,IG1990a,"0463,0468",alg,,algo1256,*-a·θak-,PA:6,,,,,,hole (in general),hole,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
61,Bloomfield,LB1941,0293,alg,,algo1256,*-a'θemw-,PA:5,,,,,,dog,,final
171,Goddard,IG1965,0215,alg,,algo1256,*-aˀθemwa,PA:6,,,,,,dog,,medial,Dep
62,Bloomfield,LB1946,0110,alg,,algo1256,*-aa,PA:1,,,,,,NG,,final,AI,,,,,,,,,,-ee,/ __ -w,,,pyaa-,,,V,AI,come,,LB1946;0110,taa-,,,V,AI,exist,LB1946;0110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
63,Bloomfield,LB1946,0118,alg,,algo1256,*-aa,PA:1,,,,,,NG,,premedial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -aakamy-,,,,,,,,,,,MAM
64,Bloomfield,LB1946,0106,alg,,algo1256,*-aa-w,PA:1,,,,,,undergoer,PATIENT,final,N,,,Y,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dash in original,,MAM
66,Bloomfield,LB1946,0118,alg,,algo1256,*-aakamy-,PA:1,,,,,,liquid,"liquid, water",medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-aa,,,,,,MAM
67,Bloomfield,LB1946,0106,alg,,algo1256,*-aakan,PA:1,,,,,,undergoer,PATIENT,final,N,,,Y,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"extension of -n 'actions, products, instruments'",,MAM
15,Aubin,GA1975b,0002,alg,,algo1256,*-a:ke:,PA:4,,,,,,indefinite object,INDEFINITE OBJECT,final,AI,,,Y,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bl46.108; 'intr. verb final added to Tl stems whose TA pendant has -aw to form Al verbs of action on indef. inan. objects',,MAM
69,Bloomfield,LB1946,0107,alg,,algo1256,*-aameekw,PA:1,,,,,,fish,fish,final,N,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*nameekw- 'fish',,,MAM
70,Bloomfield,LB1946,0092,alg,,algo1256,*-aap,PA:1,,,,,,look,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
71,Bloomfield,LB1946,0104,alg,,algo1256,*-aapam,PA:1,,,,,,NG,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
72,Bloomfield,LB1946,0113,alg,,algo1256,*-aapam,PA:1,,,,,,look at,look at,final,TA,,,,,,,,,*-aapant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*waapam- 'look at',,,MAM
73,Bloomfield,LB1946,0111,alg,,algo1256,*-aapane,PA:1,,,,,,dawn,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*waapane-,,,MAM
74,Bloomfield,LB1946,0113,alg,,algo1256,*-aapant,PA:1,,,,,,look at,look at,final,TI,,,,,,,,*-aapam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*waapant- 'look at',,,MAM
75,Bloomfield,LB1946,0107,alg,,algo1256,*-aapeew,PA:1,,,,,,"male, man","male, man",final,N,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"*naapeewa 'male, man'",,,MAM
76,Bloomfield,LB1946,"0105,0117,0118",alg,,algo1256,*-aapeθk-,PA:1,,,,,,"stone, metal",,medial,CLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
77,Rhodes,RR1976,0224,alg,,algo1256,*-aapeθk-,PA:1,,,,,,NG,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
46,Goddard,IG1965,0213,alg,,algo1256,*-a·peθkwi,PA:6,,,,,,"rock, stone",,final,N,,CONCR
79,Bloomfield,LB1946,0111,alg,,algo1256,*-aapi,PA:1,,,,,,look,look,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*waapi-,,,MAM
80,Bloomfield,LB1946,0119,alg,,algo1256,*-aapit-,PA:1,,,,,,tooth,tooth,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
82,Bloomfield,LB1946,0107,alg,,algo1256,*-aapoow,PA:1,,,,,,liquid,liquid,final,N,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""with medial -aapw-""",,MAM
