tags,gloss,type,subcategories
additive limiting,additive limiting,initial,
"way (this)
PRONOMINAL",this way (cataph.),initial,
"cut (V)
CAUSATIVE",cause by cutting,initial,
"broken (stick-like)
CLASSIFIER",be broken (stick-like things),initial,
"broken (string-like)
CLASSIFIER",be broken (string-like things),initial,
"break (stringlike)
CLASSIFIER",break as a string breaks,initial,
"break (stringlike object)
cut (stringlike object)
CLASSIFIER","cut, break (of stringlike objects)",initial,
DIRECTIONAL,converts locational forms to directional forms,initial,
PRONOMINAL,delimiting pronominal root,initial,
DEICTIC,distal deictic root,initial,
DEICTIC,further distant deictic root,initial,
"not do
HABITUAL",not do s.t. (habitual aspect),initial,
"IMPERFECTIVE
INSTRUMENT",imperfective instrumental,initial,
"begin
INCEPTIVE","begin, inceptive",initial,
"back
return
INCHOATIVE","back, returning; inchoative",initial,
INDEFINITE,indefinite identity,initial,
"hit
strike (on body)
INSTRUMENT","hit, strike with an object on a specified portion of the body",initial,
INTERROGATIVE,interrogative,initial,
"away
drop
loosen
release
MANNER","away from s.o. or s.t., by loosening, dropping, releasing",initial,
"cold
MANNER",by cold,initial,
NEGATIVE,negative,initial,
"already
PERFECTIVE","already, perfective",initial,
PRONOMINAL,personal pronoun,initial,
"her
his
POSSESSIVE","his, her (possessive)",initial,
PRONOMINAL,pronominal,initial,
DEICTIC,proximate deictic root,initial,
"far
long (time)
INTERROGATIVE
QUANTITY","how long (time)?, how far?",initial,
"far
long (time)
INTERROGATIVE
QUANTITY",how long/far,initial,
"many
INTERROGATIVE
QUANTITY",how many,initial,
"much
INTERROGATIVE
QUANTITY",how much,initial,
"many
much
INTERROGATIVE
QUANTITY",how much? how many?,initial,
"many
much
INTERROGATIVE
QUANTITY",how much/many?,initial,
"cross
RECIPROCAL",crossing each other,initial,
"facing
RECIPROCAL",facing one another,initial,
"go
run
MANNER
RELATIVE","how go, how run, so go, so run",initial,
"as many as
each
every
many
much
RELATIVE
QUANTITY",as many as; each; every; so many; so much,initial,
"long (time)
RELATIVE
QUANTITY","how long in time, such length of time - be of",initial,
"big
RELATIVE
QUANTITY",so big,initial,
"far
RELATIVE
QUANTITY",so far,initial,
"as far as
as much as
far
RELATIVE
QUANTITY","so far, as far as, as much as",initial,
"end (there)
far
long
RELATIVE
QUANTITY","so far, so long, ending there",initial,
"far
to completion
RELATIVE
QUANTITY","so far, to completion",initial,
"extemt
far
up to
RELATIVE
QUANTITY",so far; up to; to such an extent,initial,
"high
RELATIVE
QUANTITY",(so) high,initial,
"high
RELATIVE
QUANTITY",so high,initial,
"long
RELATIVE
QUANTITY",so long ,initial,
"many
RELATIVE
QUANTITY",so many,initial,
"many
RELATIVE
QUANTITY",so many ,initial,
"far
much
RELATIVE
QUANTITY","so much, so far",initial,
"many
much
RELATIVE
QUANTITY","so much, so many (rel.)",initial,
"many
much
RELATIVE
QUANTITY",so much; so many,initial,
"thus
so
RELATIVE
QUANTITY","so, thus",initial,
"there
time
RELATIVE",there; for such a time,initial,
"extent
meanwhile
still (ADV)
RELATIVE",such an extent; meanwhile; still,initial,
"thus
way (that)
RELATIVE","thus, that way",initial,
"in (way)
so
to (place)
RELATIVE",so; to a certain place; in a certain way,initial,
"all
entire
extent
throughout
RELATIVE","to such extent, all, throughout, entire, in such amount",initial,
"long
RELATIVE",be (so) long,initial,
"happen
weather
RELATIVE",be such weather < happens so,initial,
"happen
weather
RELATIVE","be such weather, happens so",initial,
"measure
quantity
size
speed
time
RELATIVE","de telle mesure/quantité/vitesse/grosseur, à tel moment",initial,
"deal with
RELATIVE",deal thus with,initial,
