Tag(s),Token Definitions - Do Not Change,TDs processed,,
"fall down
fall over","(falling) down, (falling) over","fall down, fall over",,
go out,(go) out,go out,,
go through,(go) through,go through,,
,un,a,should be 'one'?,
place (N),a certain place,a certain place,,
a little,a little bit,a little bit,,
"a little
few","a little, a few","a little, a few",,
"a little
simply","a little, simply","a little, simply",,
a little,"a little, small amount, little amount",a little,"small amount, little amount",
a lot,a lot,a lot,,
a lot,a lot of,a lot of,,
"a lot
many","a lot, many","a lot, many",,
,a short time,a short time,,
abandon,abandon,abandon,,
able,able,able,,
able,able to,able to,,
able,able to do s.t.,able to do s.t.,,
about,about,about,,
"about
around","about, around","about, around",,
"about
around","about, around (in sense of 'about', not related to 'round')","about, around",,
"above
upward","above, upward","above, upward",,
,absence of a sense,absence of a sense,,
accident,accident,accident,,
accidentally,accidentally,accidentally,,
accidentally,accidently,accidentally,,
"accustomed to
used to","accustomed to, used to","accustomed to, used to",,
ache,aching,aching,,
acquire,acquire,acquire,,
across,across,across,,
across,across (to the other side of) him/it,across (to other side of),,
across,across the top,across the top,,
across,across water,across water,,
across,"across, non-surface contact","across, non-surface contact",,
"across, over","across, over","across, over",,
"across, over","across, over, surface contact","across, over, surface contact",,
add,add,add,,
"add
include","add, include","add, include",,
,additive limiting,additive limiting,WHAT SHOULD WE DO ABOUT GRAMMATICAL TRANSLATIONS?,
"adhere
on","adhere, be on","adhere, on",,
"admire
desire
covet","admire, desire, covet","admire, desire, covet",,
afraid,afraid,afraid,,
afraid,afraid of,afraid of,,
"after
last
end (N)","after, last, at end","after, last",at end,
again,again,again,,
against,against,against,,
,"against one's will, against opposition","against one's will, against opposition",,
"against
close
near
transverse","against, close to, near, transverse","against, close, near, transverse",,
agitate,agitate,agitate,,
agitate,agitated,agitated,,
ahead,ahead,ahead,,
,ahead of time,ahead of time,,
ahead,"ahead, leading",ahead,leading,
aimless,aimless,aimless,,
aimless,"aimless, around and about",aimless,around and about,
air (V),air out,air out,,
alert (A),"alert, all there",alert,all there,
all,all,all,,
all,all (usually agents),all (usually agents),,
all,all (usually patients/undergoers),all (usually patients or undergoers),,
,all around,all around,,
,all directions,all directions,,
,"all gone, to extinction","all gone, to extinction",,
,all in one place,all in one place,,
"night
morning
dawn","all night, until morning; at dawn","all night, until morning; at dawn",,
,"all over, spread about","all over, spread about",,
all,all together,all together,,
"all
entirely
completely","all; entirely, completely","all; entirely, completely",,
go towards,aller vers (quelque part/qqch),go towards,,
allow,allow s.o. to do s.t.,allow,,
almost,almost (but did not reach goal),almost,,
almost,almost (but have not yet reached goal),almost,,
"almost
want","almost, want to","almost, want to",,
"aloft
away","aloft, away","aloft, away",,
alone,alone,alone,,
"alone
bare","alone, bare","alone, bare",,
"alone
unaccompanied","alone, unaccompanied","alone, unaccompanied",,
along,along,along,,
,along in space or time,"along in space, time",,
"along
shore",along shore,along shore,,
"along
edge",along the edge,along the edge,,
,along the way,along the way,,
"along
with",along with another or others,along with,,
"along
accompany","along, accompany","along, accompany",,
along,"along, along the way, in that direction",along,"along the way, in that direction",
"along
by","along, by","along, by",,
"along
by","along, by (position)","along, by (position)",,
along,"along, extension in time or space",along,"extension in time, space",
"along
past","along, past","along, past",,
"along
past","along, past, along or past him/it","along, past",,
"along
past
by","along, past, by","along, past, by",,
"along
with","along, with","along, with",,
"along
with
fellow","along, with, fellow","along, with, fellow",,
"along
with
fellow","along, with, fellow (pseudo-root)","along, with, fellow",,
"along
with","along, with, with others","along, with",,
"along
stream",along; along a stream,along; along a stream,,
"along
past",along past him/it,"along, past",,
"alongside
beside","alongside, beside","alongside, beside",,
"already
finish
prepare","already, finish, prepare","already, finish, prepare",,
already,"already, perfective",already,perfective,
"also
include","also, include","also, include",,
alternate,alternate,alternate,,
always,always do s.t.,always do,,
amazing,amazing,amazing,,
ambush,embusquer,ambush,,
angle,angle,angle,,
angry,angry,angry,,
